"Contains a date column for CalLite-CV's time period and fields with the Element name (using the CalLite-CV convention of name_might_include_underscores.element_subname, even though it's different from Sadie's nomenclature, because I'm hoping that leaving them will be less confusing than changing .'s to _'s and making the names harder to read) for all the CalLite-CV records identified in diversionoverview.csv. That .csv contains the combinations required to calculate fraction diverted for each river, but here's one example: for the Upper-Mid Sacramento DSM reach, cell B4 in the overview csv gives the formula RedBluff.Diversion/(RedBluff.Outflow + RedBluff.Diversion), so for 10/2014 the fraction diverted will be 213.1/(6979 + 213.1) = .0296.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
date,RedBluff.Outflow,RedBluff.Diversion,Thermalito.Outflow,Thermalito.Diversion,DaguerrePt.Outflow,DaguerrePt.Diversion,SacFeather.Outflow,SacFeather.SacFeather_Refuge_Diversion_ch,SacFeather.Diversion,Hst.Outflow,Hst.Diversion,SacAmerican.Outflow,SacAmerican.Diversion,Calaveras_River.Outflow,Calaveras_River.Diversion,Merced_River_3.Outflow,Merced_River_3.Diversion,Ripon.Outflow,Ripon.Diversion,Tuolumne_River_2.Outflow,Tuolumne_River_2.Diversion,Hood.Outflow,Hood.Diversion,RioVista.Outflow,RioVista.Diversion,RioVista.Diversion2,CentralDelta.Outflow,CentralDelta.Diversion,SJR1.Outflow,SJR1.Diversion,SouthDelta.Outflow,SouthDelta.Diversion,SouthDelta.Diversion2
8/1/2015 0:00,8548,749.7,5714,1158,500,1016,11327,48.44,0,188,94.6,10125,1878,12.42,112.3,84.61,15.22,444.2,57.71,240.6,20.07,10230,0,4993,109.8,1215,5481,557.3,3149,0,-856.8,7066,2562
9/1/2015 0:00,5725,206.7,1260,316.3,551.9,148.1,7432,74.43,0,387.4,94.48,7028,1150,9.101,65.06,75.32,0,399.7,16.86,231.5,12.96,7109,0,3000,75.04,727.2,4499,333.7,3018,0,491.6,5606,1534
10/1/2015 0:00,5350,164.6,2947,235.3,500,290.2,8184,72.87,0,677.7,63.07,8739,474.2,5.997,18.53,239.3,0,895,2.909,292.9,2.509,8835,0,5776,66.63,306.9,3617,140.8,3075,0,-1917,8044,647.6
11/1/2015 0:00,8270,35.85,1200,142.5,3927,74.27,24460,59.63,0,2127,32.48,27269,272.9,190.6,3.9,162.3,0.2975,332.2,0,415,0,27569,0,24127,57.87,41.41,5630,19,4421,0,-1410,11457,87.37
12/1/2015 0:00,7007,28.49,1200,49.86,4076,76.2,18987,30.75,0,2207,32.32,21389,124.1,112.7,4.57,142.2,0.2322,436.2,0,277.9,0,21468,0,17780,51.03,24.94,4171,11.44,1856,0,-1563,7584,52.62
1/1/2016 0:00,7205,28.7,1200,39.33,2914,76.2,17919,16.01,0,2647,32.29,20935,101.4,178.5,5.41,141.7,0.2291,674.8,0,301.4,0,21050,0,17424,90.78,21.88,4318,10.04,1959,0,-148.9,6428,46.17
2/1/2016 0:00,32438,27.51,10526,46.7,5945,68.83,63967,14.86,7442,11681,31.17,73540,97.87,737,6.296,170.4,0.1996,368.3,0,437.7,0,73861,0,79109,106.8,19.43,13226,8.915,4853,0,11763,6365,40.99
3/1/2016 0:00,21229,36.79,11946,34.07,5430,76.2,47502,8.424,0,4704,32.3,52798,105.8,377.1,13.87,205.7,2.228,317.3,1.741,314,3.519,52930,0,47074,103.9,22.88,9763,10.5,3697,0,7395,6093,48.28
4/1/2016 0:00,12959,146.9,7779,73.43,2418,87.02,25500,9.576,0,3121,58.61,28707,332.6,2.423,46.87,129.3,2.34,1736,7.157,1218,10.47,28793,0,24116,136.2,216,5764,99.08,7638,0,10303,2703,455.6
5/1/2016 0:00,11144,1041,4354,1872,3595,984.9,17144,23.17,0,4408,88.63,20170,1624,3.283,134.6,994.2,8.732,1578,38.35,1123,17.56,20217,0,15904,149.2,946.1,4381,434.1,5180,0,5811,1812,1996
6/1/2016 0:00,12910,2148,5131,4115,3140,1909,15125,34.82,0,4629,101.5,17409,2692,8.049,144.2,176.1,11.15,506,50.84,405.5,23.33,17493,0,13592,126,1413,4534,648.4,4852,0,-732,7238,2982
7/1/2016 0:00,15691,1607,8925,2949,518.4,1395,20301,34.54,0,2540,105.3,20687,2544,11.34,157.4,137.8,17.64,443.8,70.88,403.8,25.09,20778,0,11756,121.5,1679,8736,770.1,2758,0,-3581,11652,3541
8/1/2016 0:00,10338,1152,7368,1807,500,775.4,14891,48.44,0,1848,106.8,14918,2310,12.85,140.1,252.3,12.84,450.1,52.72,472.5,20.07,15028,0,8245,121.1,1517,7096,696.2,3965,0,-3134,11134,3202
9/1/2016 0:00,6387,318.2,750,673.6,500,371.2,7189,74.43,0,1345,81.77,8569,469.7,12.68,67.44,415.2,6.902,406.5,31.11,454.5,10.37,8696,0,4745,165,398.6,5332,182.9,3752,0,-222.3,8601,840.9
10/1/2016 0:00,6332,292.1,5858,342.3,500,276.4,12126,72.87,0,1130,71.16,12749,783.8,20.06,18.53,367.4,0,885.7,5.863,549.7,2.509,12835,0,8387,157.6,565.7,4442,259.6,3245,0,-3989,10545,1194
11/1/2016 0:00,5134,41.5,5366,148.4,772.1,70.83,17244,59.63,0,1158,38.13,18828,123.2,399.1,3.9,963.3,0.2727,327,0,682.3,0,19005,0,14034,121.6,26.18,6052,12.01,4517,0,-810.7,11417,55.24
12/1/2016 0:00,6147,35.02,5362,56.2,1284,72.98,19521,30.75,0,1170,32.64,21042,106.3,114.2,4.57,489.4,0.2536,302.3,0,1668,0,21190,0,17519,100.9,20.89,4032,9.583,3534,0,-1046,8617,44.06
1/1/2017 0:00,5670,36.23,5359,45.46,1329,72.98,17149,16.01,0,974.2,38.95,18382,125.3,35.25,5.41,792.3,0.2833,323.5,0,1745,0,18496,0,15285,46.66,25.51,3629,11.71,3754,0,1069,6309,53.82
2/1/2017 0:00,6182,36.8,5360,50.1,1683,66.15,18460,15.39,0,810.5,42.89,19569,139.3,43.54,6.296,553.6,0.2531,329.7,0,1726,0,19694,0,16330,50.36,29.49,3827,13.53,4014,0,1405,6425,62.22
3/1/2017 0:00,18766,75.05,5360,46.38,6125,76.32,39625,8.424,0,7823,32.66,48253,100.5,111.6,14.16,515,2.809,315.5,1.786,4894,5.018,48447,0,43079,50.29,24.79,9235,11.37,7967,0,9375,7835,52.29
4/1/2017 0:00,12273,47.54,1000,59.26,2627,79.34,20063,9.576,0,2879,58.63,23027,320.2,2.451,49.88,157.5,3.194,1102,6.976,1142,7.778,23116,0,19311,52.78,213,4922,97.73,6681,0,7841,3369,449.4
5/1/2017 0:00,13500,754.7,4212,2317,2080,1122,16795,23.17,0,3973,91.82,19236,1755,3.299,119.6,185,9.104,1102,41.78,705.7,20.07,19290,0,15283,26.67,967.5,4044,443.9,4004,0,3977,2086,2041
6/1/2017 0:00,14692,1204,4765,4137,1500,1785,14911,34.82,0,3049,106.7,15441,2855,8.539,128.1,169.2,14.25,1232,55.59,219,23.33,15533,0,11893,80.8,1562,3569,716.5,2968,0,-3032,6376,3295
7/1/2017 0:00,16932,983.6,3676,2771,700,1232,16744,34.54,0,2709,110.2,17052,2810,12.78,138.1,147.1,14.97,407.1,67.83,225,25.09,17153,0,9248,95.07,1781,7634,817.1,2666,0,558.3,6111,3757
8/1/2017 0:00,8788,757,1943,2227,600,1031,8011,48.44,0,1627,103.4,8026,2093,12.15,112.3,128.2,15.96,435.6,57.71,280.7,20.07,8153,0,3307,99.49,1603,4818,735.3,3322,0,1369,3536,3381
9/1/2017 0:00,5212,323,1000,491.9,500,299.3,6689,74.43,0,1294,95.04,7551,923.3,14.23,65.06,129.8,5.828,406,12.64,305.5,10.37,7672,0,3653,126.5,800,5069,367.1,3696,0,-128.7,7347,1688
10/1/2017 0:00,6958,123.2,1494,0,628.4,89.52,8232,72.45,0,773.1,70.11,8943,279.2,5.994,18.53,235.6,0,739.3,3.155,331.1,3.931,9012,0,6092,114.1,78.15,3554,35.86,2530,0,-1575,7579,164.9
11/1/2017 0:00,4775,30.21,1582,0,657.7,75.32,12594,59.63,0,616.2,36.83,13546,116.3,498,3.9,168,0.2309,302.6,0,376.8,0,13722,0,9637,88.63,25.71,4853,11.8,4106,0,-2392,11342,54.25
12/1/2017 0:00,4684,28.4,1700,57.55,704.2,77.47,10394,28.22,0,624.2,32.99,11353,102.3,85.92,4.57,150.1,0.2134,453.6,0,353.5,0,11515,0,9171,67.3,20.77,2643,9.529,2112,0,-3134,7898,43.82
1/1/2018 0:00,4945,32.04,1700,51.39,719,78.37,9554,15.16,0,623.8,39.58,10296,122.3,5.248,5.41,152.1,0.2327,566.2,0,321.7,0,10385,0,8188,44.18,24.93,2305,11.44,1624,0,-2435,6360,52.59
2/1/2018 0:00,4869,30.41,1700,50.6,1017,70.25,12136,14.92,0,628,41.26,13040,128.2,55.47,6.296,154.1,0.3172,1242,0,337.5,0,13177,0,10671,48.69,30.48,2966,13.99,2770,0,-52.9,5775,64.32
3/1/2018 0:00,6040,70.06,1700,60.35,1547,41.77,11378,8.003,0,636.2,50.95,11873,423,6.231,14.3,202.3,2.134,485.2,0,299.6,0,11964,0,9395,50.29,187,2817,85.79,2507,0,738.6,4231,394.5
4/1/2018 0:00,6541,86.69,1121,111.1,1673,45.36,10729,10.01,0,1197,74.71,11139,1016,3.519,67.83,144.4,2.56,1079,10.16,531.9,10.37,11206,0,8360,52.78,733.2,2876,336.4,3911,0,1278,4013,1547
5/1/2018 0:00,7129,442.4,1000,2074,2000,537.1,7058,19.8,0,1713,84.91,7306,1700,7.268,119.6,167,9.381,1095,37.86,512,17.56,7378,0,5388,69.53,719.2,2263,330,3247,0,1003,3076,1517
6/1/2018 0:00,13531,694.5,1767,3786,1500,870,11146,37,0,3068,95.55,11711,2765,6.945,128.1,159,11.64,1198,45,167.2,23.33,11800,0,8629,80.79,1394,3222,639.6,2946,0,112.3,3199,2941
7/1/2018 0:00,11708,662.3,1952,2951,700,694.7,9052,39.59,0,2213,132.1,9227,2366,11.33,138.1,123.4,15.72,573.3,72.76,151.5,25.09,9324,0,3837,95.06,1533,5224,703.2,2114,0,1306,2915,3233
8/1/2018 0:00,9827,594.5,1468,0,600,506.5,7905,51.81,0,561.4,215.5,6663,2185,10.56,112.3,102.1,12.93,421.4,50.12,205.8,20.07,6767,0,2363,0,1419,4445,651.2,3122,0,3525,1178,2994
9/1/2018 0:00,6086,257.3,1495,0,500,201.7,7852,71.82,0,552.2,159.2,7530,1280,11.15,65.06,94.62,6.501,362.6,33.7,201.6,12.96,7650,0,3476,0,958.6,4786,439.8,2920,0,4745,1068,2023
10/1/2018 0:00,6894,68.26,1494,0,566.9,133.2,8303,73.71,0,1008,90.42,8752,765.9,6.571,18.53,230.8,0,723.1,5.53,263,2.509,8836,0,5782,0,542.1,3545,248.7,2244,0,3736,1003,1144
11/1/2018 0:00,6929,119.7,1514,0,770.6,41.44,9053,60.07,0,401.5,63.25,9316,263.2,6.594,3.9,144.2,0.7569,261.5,0,235.9,0,9383,0,6236,88.64,95.15,3631,43.66,1740,0,-2150,7394,200.7
12/1/2018 0:00,6035,24.23,1599,0,763.5,39.25,16259,30.33,0,572.4,33.35,17324,97.09,146,4.57,140.2,0.3246,310.5,0,358.6,0,17549,0,15173,67.3,23.06,3731,10.58,2224,0,-1671,7616,48.65
1/1/2019 0:00,7547,24.23,1700,46.98,2052,39.25,18734,16.01,0,580,33.34,19953,97.07,106,5.41,151.2,0.2159,373.5,0,357.7,0,20196,0,16826,44,21.09,4046,9.676,2021,0,-357.5,6436,44.49
2/1/2019 0:00,7787,24.23,2894,50.27,2340,35.45,21639,15.86,0,3006,33.35,25127,97.07,41.62,6.296,151.6,1.282,1251,0,303.5,0,25282,0,21170,52.36,21.22,5147,9.737,2714,0,2107,5775,44.78
3/1/2019 0:00,6070,26.99,5376,33.97,2322,78.5,20171,8.003,0,3972,36.46,24466,261.1,88.99,14.3,201.7,2.363,295.4,1.921,332,3.931,24642,0,21608,50.29,27.29,5330,12.52,3096,0,3637,4791,57.58
4/1/2019 0:00,5114,85.03,5235,70.92,2094,88.6,14519,8.705,0,2883,60.14,17195,493.3,2.508,56.02,133.3,3.564,770,10.84,558.3,7.778,17285,0,14060,52.78,228.9,3598,105,3778,0,3286,3657,483
5/1/2019 0:00,9170,437.9,3318,1869,2000,985.5,12338,25.69,0,2443,86.76,13232,1715,3.77,119.6,167.6,6.439,794.1,32.51,509.5,20.07,13293,0,10095,26.75,877.6,3006,402.7,2763,0,1320,2654,1852
6/1/2019 0:00,12395,820.2,2948,4339,1751,1986,10101,39.17,0,4794,154.2,12104,3046,7.764,128.1,145.8,15.07,1153,52.9,162,23.33,12197,0,8979,80.11,1455,3284,667.6,2582,0,-142.7,3034,3070
7/1/2019 0:00,10056,679.8,4222,2855,700,1348,9906,31.59,0,3714,186.2,11517,2438,11.92,138.1,131.9,14.25,559,72.76,170.7,25.09,11627,0,5334,94.39,1680,5898,770.9,2585,0,-75.48,5133,3545
8/1/2019 0:00,8768,532.5,2904,1829,600,923.9,9226,42.96,0,1701,259.3,8747,2574,13.2,112.3,91.12,13.72,406.4,52.9,192.5,20.07,8861,0,3613,99.06,1654,5170,759.1,2809,0,987.8,3640,3490
9/1/2019 0:00,5105,187.4,1000,590.8,501.9,198.1,6444,76.61,0,1221,96.56,7577,534.1,13.83,58.6,88.02,5.09,360.1,24.17,194,10.37,7723,0,4253,127.7,276.5,4749,126.9,3046,0,-81.62,7436,583.3
10/1/2019 0:00,4967,144.7,7191,0,500,259.6,11871,82.56,0,551,152.7,11546,939,2.669,18.53,229.8,0,644,6.065,240.2,5.018,11604,0,7370,0,607.5,3921,278.7,1719,0,3251,1156,1282
11/1/2019 0:00,5347,40.12,1519,0,662.5,77,7976,71.82,0,980.3,49.58,8886,321.5,17.98,5.718,147.6,0.7388,281.1,0,271,0,9003,0,6066,89.37,53.97,3606,24.76,2263,0,-1647,7487,113.9
12/1/2019 0:00,3967,33.26,1508,0,671.7,79.53,6491,34.96,0,621.2,52.64,6899,276.5,2.388,4.57,137.2,0.3669,520.5,0,247.1,0,6959,0,5346,0,35.46,1765,16.27,1295,0,1932,1082,74.8
1/1/2020 0:00,5079,25.65,1601,0,743.6,76.87,14436,17.27,0,560,33.69,15357,98.53,92.86,5.41,154,0.2189,496.3,0,343.3,0,15547,0,12744,43.89,21.41,3265,9.822,2102,0,-1123,6489,45.16
2/1/2020 0:00,4476,26.7,6692,43.86,1125,69.77,15259,16.21,0,578.5,36.41,16024,106,11.72,6.079,149.5,0.2851,659.2,0,268.9,1.816,16143,0,13196,47.04,24.03,3117,11.03,1597,0,-541.2,5256,50.71
3/1/2020 0:00,4389,106.5,1546,0,1718,44.74,8910,5.687,0,587.1,54.65,9402,270.9,2.215,41.89,196.6,3.427,399.8,2.733,244.6,5.702,9481,0,7289,50.29,185.7,2244,85.2,1820,0,72.15,3638,391.8
4/1/2020 0:00,4547,152.5,3199,108.5,1703,135.6,10452,6.202,0,1769,134,11411,931.4,3.564,110.1,119,6.294,1358,14.7,321.1,17.86,11471,0,8479,52.78,810.4,2514,371.8,3143,0,737.4,3256,1710
5/1/2020 0:00,7028,272.5,2167,1117,688.6,510,8323,14.85,0,1001,116.3,7865,1641,7.805,143.8,161.5,9.559,742.8,61.69,327.2,22.58,7946,0,5638,26.68,1013,2343,464.8,2170,0,529.9,1937,2137
6/1/2020 0:00,9436,517.4,1470,0,400,759.6,8682,22.2,0,1598,197.6,8141,2368,9.739,149.2,122.5,13.12,782.8,46.04,153.6,23.33,8239,0,5759,0,1346,2613,617.5,2216,0,918.2,1173,2839
7/1/2020 0:00,9566,633,1461,0,400,712.2,7346,23.69,0,436.5,206.7,5314,2713,10.6,156.4,63.35,16.83,836.5,72.76,143.7,25.09,5411,0,685.8,0,1915,3828,878.7,2253,0,730.5,1422,4040
8/1/2020 0:00,6866,0,1475,0,400,594.9,6841,31.28,0,-203.4,0,5034,1973,16.35,141.2,81.23,5.888,300.5,54.26,168.8,20.07,5167,0,1125,0,1749,4028,802.3,2922,0,1979,1435,3689
9/1/2020 0:00,3867,0,1493,0,446,54.04,6597,49.95,0,403.6,137.3,6519,754.3,12.15,101.2,71.43,0,293.9,31.44,165,12.96,6638,0,3246,0,554.4,4423,254.4,2677,0,5002,1076,1170
10/1/2020 0:00,6355,102.8,1492,0,476.8,123.3,7324,45.49,0,551.3,128.4,7594,324.4,4.773,29.57,235.7,0,642.8,0,220.3,0,7664,0,4790,0,282.2,3180,129.5,2074,0,3379,1347,595.3
11/1/2020 0:00,4671,27.6,1530,0,604.2,37.18,7784,40.15,0,1414,62.93,9230,156.3,36.45,4.269,134.5,0.2963,250.8,0,251.5,0,9341,0,6119,0,61.09,3700,28.03,1605,0,3966,1266,128.9
12/1/2020 0:00,6511,21.21,900,41.56,1076,37.47,16946,18.64,0,500,40.07,18602,99.23,336.2,4.57,163.1,0.223,320.3,0,515,0,19068,0,17222,67.35,21.82,5048,10.01,4902,0,1252,8745,46.04
1/1/2021 0:00,7349,21.86,900,48.08,2029,38.91,16745,11.06,0,1266,34.23,18458,99.23,288.2,5.41,141.1,0.223,449.9,0,294.5,0,18602,0,15349,43.88,21.82,5037,10.01,2650,0,974.2,6745,46.04
2/1/2021 0:00,5470,21.75,900,31.62,2410,33.84,12447,9.793,0,4785,34.23,17781,99.23,347.2,6.283,140.9,0.223,1186,0,325.7,0,17963,0,14843,50.54,21.82,4493,10.01,4348,0,2457,6430,46.04
3/1/2021 0:00,4620,72.91,5376,58.4,4255,83.01,15773,9.267,0,6344,53.88,22092,266.5,7,13.84,198.9,1.248,273.1,0,268.7,2.509,22183,0,18271,47.85,178.3,5241,81.79,4108,0,3598,5439,376.1
4/1/2021 0:00,4555,86.62,1368,59.52,1679,84.34,9274,9.576,0,4518,69.2,13174,794.8,3.633,85.15,124.8,3.249,757.3,12.96,1178,10.37,13250,0,10298,50.71,512.4,3197,235.1,6002,0,2874,5303,1081
5/1/2021 0:00,6552,361,1477,938.5,2599,876.5,8693,28.64,0,4461,89.21,12202,1127,6.58,98.24,184.9,8.422,741.2,35.18,1105,15.05,12285,0,9556,68.44,636.3,3010,291.9,4809,0,2017,4535,1342
6/1/2021 0:00,11900,734.5,3889,2226,3378,1800,12958,34.39,0,4883,193.3,15272,2721,5.544,158.5,163.8,13.75,347.4,45.96,360.5,23.33,15355,0,11522,89.39,1389,4116,637.5,3791,0,1427,3628,2931
7/1/2021 0:00,11118,646.3,5343,1627,590.3,1316,11953,34.96,0,2977,251,12521,2668,11.38,170.9,141.6,14.01,1007,72.76,361.6,25.09,12630,0,5757,103.4,1889,6361,866.9,3040,0,-324.1,5854,3986
8/1/2021 0:00,5107,0,2202,1181,500,992.7,7445,61.5,0,1769,219.1,7596,1986,14.34,151.7,95.36,16.13,395.4,57.71,388.5,20.07,7729,0,3123,104.6,1400,5061,642.5,2985,0,877.2,4367,2954
9/1/2021 0:00,4756,0,918.5,688.3,500,491.1,6259,83.14,0,1596,193.8,7106,1054,11.94,107,125.3,0,354,33.7,414.9,12.96,7237,0,3000,110.5,951.4,5214,436.5,3296,0,658.9,5971,2007
10/1/2021 0:00,3859,0,4183,214.7,621.4,87.54,8861,76.24,0,500,125.7,8813,642.3,6.689,26.78,245.9,0,654.4,7.419,506.4,5.018,8902,0,5789,99.22,444.9,3519,204.1,2694,0,-2518,7887,938.6
11/1/2021 0:00,4194,0,5955,208.6,500,256.4,9914,61.81,0,500,117,10155,314.8,8.089,4.175,136.7,0.4696,268.7,0,404.2,0,10235,0,6744,78.96,222.8,3783,102.2,1781,0,-2774,7933,470.1
12/1/2021 0:00,4064,25.85,1496,52.33,622.4,79.52,8634,31.17,0,513.9,51.22,9210,112.7,45.5,4.57,141.2,0.2487,443.9,0,432.2,0,9341,0,7426,62.2,24.46,2275,11.22,1840,0,-3176,7289,51.61
1/1/2022 0:00,4784,28.77,1506,56.35,676.7,82.28,10652,15.59,0,537.2,34.77,11540,100.8,80.7,5.41,157,0.227,424.4,0,493.2,0,11756,0,9459,43.69,22.24,2659,10.2,2313,0,-1643,6629,46.92
2/1/2022 0:00,4565,27.52,1485,45.69,830.1,71.99,8845,15.39,0,546.2,36.24,9508,104.5,16.25,6.296,151.4,1.233,587.3,0,424.1,0,9631,0,7563,48.39,23.57,2234,10.81,2005,0,-480.2,4728,49.72
3/1/2022 0:00,5812,25.71,1532,29.52,1761,81.14,11879,6.002,0,559.5,45.43,12372,287.9,2.287,14.3,199.9,1.245,457.8,2.289,403.2,3.15,12482,0,10008,50.29,31.94,2895,14.65,2474,0,726,4621,67.38
4/1/2022 0:00,6619,169.9,2224,90.47,1419,106.3,9872,6.202,0,2303,71.8,11738,511.4,2.621,67.34,139,3.137,1094,11.23,606.7,8.763,11804,0,9280,52.78,225.6,2517,103.5,3796,0,2047,3831,476
5/1/2022 0:00,8006,254.9,2320,1009,1000,980.2,10033,15.16,0,2432,149.6,10864,1668,3.822,132.2,170.2,6.274,725.3,32.46,564.4,22.58,10934,0,8038,26.75,897.7,2522,411.9,2194,0,709.2,2165,1894
6/1/2022 0:00,9835,563.6,2332,2196,650,1831,7919,22.52,0,5908,203,11338,2655,8.319,158.5,151.5,10.37,986.3,46.4,172.9,23.33,11437,0,8377,80.11,1354,2938,621.3,2314,0,-260.2,2751,2857
7/1/2022 0:00,6242,0,1458,0,500,1454,6568,30.64,0,2676,215.5,6856,2592,11.53,170.9,120.3,17.91,800.4,72.76,176.4,25.09,6962,0,2061,0,1662,4417,762.7,2269,0,1851,1441,3507
8/1/2022 0:00,6624,0,1463,0,500,1044,6539,37.28,0,-660.9,0,3707,2459,12.56,151.7,98.72,12.8,297.1,57.71,200.6,20.07,3834,0,133.4,0,1646,3961,755.4,2818,0,2226,1218,3473
9/1/2022 0:00,4931,77.29,1485,0,589.9,110.1,6947,53.21,0,4.133,0,6550,689.4,15.85,62.01,69.62,0,291.9,9.947,198.3,12.96,6693,0,3280,0,606.1,4539,278.1,2707,0,5037,1073,1279
10/1/2022 0:00,4173,0,1488,0,500,257.6,5539,56.55,0,500,86.45,5436,649.1,2.77,33.24,236.1,0,636.5,6.33,303.7,5.018,5516,0,2943,0,401.5,2712,184.2,2095,0,3044,988.7,847.2
11/1/2022 0:00,4500,47.31,1505,0,623.3,80.86,6191,45.05,0,500,2.806,6430,278.1,6.82,4.39,149.7,0.405,256.4,0,275.5,0,6506,0,3826,0,256.9,2951,117.9,2261,0,3775,957.2,542.1
12/1/2022 0:00,5411,22.12,900,52.2,655.5,77.98,14378,24.33,0,521,44.9,15513,102.8,186.3,4.57,145.9,0.2378,433.5,0,416,0,15822,0,13319,67.69,22.65,3739,10.39,2778,0,-1293,7834,47.79
1/1/2023 0:00,5453,22.12,900,37.12,790.2,77.98,9575,12,0,542.1,35.31,10313,102.8,50.49,5.41,155.5,0.2419,604.9,0,333.1,0,10460,0,8292,43.69,22.78,2647,10.45,1978,0,-1873,6499,48.07
2/1/2023 0:00,5454,22.12,900,36.87,1415,70.43,11457,11.89,0,1238,35.31,13115,102.8,54.95,6.296,159.4,0.2312,738.7,0,333.4,0,13316,0,10784,48.76,22.68,3369,10.41,2292,0,583.4,5096,47.85
3/1/2023 0:00,5082,73.32,751.4,55.58,1916,42.74,9142,8.424,0,3889,59.35,12695,437.6,2.321,14.3,197.3,3.477,248.1,0,275.4,0,12767,0,10093,47.91,187.2,2942,85.87,1859,0,1434,3015,394.9
4/1/2023 0:00,7020,184.8,3612,130.9,1182,134.4,11416,8.705,0,2890,145.5,13311,1054,3.741,97.76,123.3,6.906,786.3,18,325.4,12.96,13378,0,10434,50.37,596.9,2769,273.9,3693,0,1384,3864,1259
5/1/2023 0:00,8137,333.9,2322,962.2,2000,376.7,9344,21.06,0,860.9,122.7,8537,1757,8.058,150.6,172.3,8.681,721.2,40.77,313.4,22.58,8619,0,6043,23.83,1080,2378,495.4,2092,0,193.8,2074,2278
