A,,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM
5,28Feb1922,8.360,0.0000,408.1,408.1,399.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,399.0,369.8,278.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,278.0,278.0,268.2,268.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,268.2,268.2,268.2,268.2,268.2,268.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,265.2,264.0,262.6,262.6,29.18,29.18,18.68,1.76,106.9,155.7,106.9,106.9,104.9,104.0,99.8,60.8,57.5,53.1,53.1,53.1,13.5,13.5,4.2,3.0,155.7,154.1,154.1,152.6,150.6,55.50,3.00,6702,286.9,1624.6,239.9,222.8,0.0,0.0,0.0,134.7,95.1,0.0,0.0,0.0,95.1,0.0,0.0,0.0,0.0,0.0,0.0,6702,6702,6702,0.0,0.0,0.0,0.0
6,31Mar1922,7.722,0.0000,2601.8,2601.8,2596.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2591.3,2524.1,2278.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2278.3,2278.3,2268.2,2268.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2268.2,2268.2,2268.2,2268.2,2268.2,2268.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2265.2,2264.4,2262.9,2262.9,67.20,44.09,30.58,7.33,1452.6,810.3,1452.6,1407.1,1400.9,1398.9,1394.6,1321.4,1318.0,1223.7,1207.1,631.2,546.0,541.5,523.5,522.3,810.3,808.7,808.7,804.7,802.6,60.64,422.03,4408,1992.3,533.2,1641.0,1364.4,0.0,0.0,0.0,800.9,577.8,0.0,0.0,0.0,577.8,0.0,0.0,0.0,0.0,0.0,0.0,4408,4408,4408,0.0,0.0,0.0,0.0
7,30Apr1922,10.716,0.0000,3520.8,3520.8,3520.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3515.7,3349.2,2873.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2873.8,2873.8,2859.9,2859.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2859.9,2859.9,2859.9,2859.9,2859.9,2859.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2855.7,2849.4,2847.3,2847.3,166.45,94.57,80.48,54.10,1698.3,1149.0,1698.3,1644.0,1608.0,1605.8,1599.8,1504.8,1500.1,1366.6,1307.6,681.6,592.6,551.9,533.1,531.5,1149.0,1146.8,1146.8,1136.8,1134.0,66.76,398.65,5030,2778.0,74.3,2241.1,1751.8,0.0,0.0,0.0,1011.5,741.2,0.0,0.0,0.0,741.2,0.0,0.0,0.0,0.0,0.0,0.0,5030,5030,5030,0.0,0.0,0.0,0.0
8,31May1922,15.206,0.0000,4485.2,4470.9,4459.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4422.2,4193.5,3421.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3421.1,3421.1,3401.1,3401.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3362.4,3362.4,3362.4,3168.4,3168.4,3168.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3162.3,3049.0,3046.0,3046.0,228.65,105.69,91.87,62.25,1896.1,1149.9,1896.1,1695.8,1658.5,1655.1,1646.5,1553.1,1546.3,1443.0,1385.3,711.7,618.7,578.9,560.4,558.1,1149.9,1146.7,1146.7,1130.6,1126.6,125.02,375.87,9371,3157.3,125.5,2516.8,1924.3,0.0,0.0,0.0,1080.6,787.0,0.0,0.0,0.0,787.0,0.0,0.0,0.0,0.0,0.0,0.0,9371,9371,9371,0.0,0.0,0.0,0.0
9,30Jun1922,23.713,0.0000,5540.1,5525.4,5321.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5198.0,4917.6,3264.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3264.7,3264.7,3239.6,3239.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3223.3,3223.3,3223.3,3001.6,3001.6,3001.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2994.0,2846.8,2843.0,2843.0,280.38,109.24,94.95,64.35,1774.3,1068.7,1774.3,1567.3,1528.2,1524.9,1514.2,1416.7,1408.3,1297.5,1237.8,710.2,607.9,566.8,547.7,544.8,1068.7,1064.7,1064.7,1045.1,1040.0,122.71,340.52,7296,4042.3,134.6,3166.1,2377.3,0.0,0.0,0.0,1244.9,877.2,0.0,0.0,0.0,877.2,0.0,0.0,0.0,0.0,0.0,0.0,7296,7296,7296,0.0,0.0,0.0,0.0
10,31Jul1922,26.265,0.0000,5697.9,5683.8,5486.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5373.6,5071.3,3572.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3572.8,3572.8,3544.9,3544.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3544.9,3544.9,3544.9,3309.6,3309.6,3309.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3301.2,3158.2,3154.0,3154.0,302.26,105.69,91.87,62.27,2068.3,1085.7,2068.3,1868.1,1838.0,1834.8,1822.9,1728.1,1718.7,1609.2,1551.5,764.1,636.3,596.5,578.0,574.7,1085.7,1081.2,1081.2,1057.5,1051.9,118.72,320.36,3627,3003.6,144.6,2221.8,1481.5,0.0,0.0,0.0,634.3,419.7,0.0,0.0,0.0,419.7,0.0,0.0,0.0,0.0,0.0,0.0,3627,3627,3627,0.0,0.0,0.0,0.0
11,31Aug1922,21.855,0.0000,6083.7,6069.5,5871.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5759.4,5477.6,3751.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3751.2,3751.2,3728.2,3728.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3728.2,3728.2,3728.2,3544.4,3544.4,3544.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3537.4,3420.7,3417.2,3417.2,281.80,105.69,91.87,62.27,2346.5,1070.7,2346.5,2146.2,2118.1,2114.9,2105.0,2011.0,2003.2,1684.3,1626.6,821.1,693.3,653.5,632.8,630.1,1070.7,1067.0,1067.0,1045.1,1040.5,118.72,383.91,1750,2630.2,118.8,1942.3,1296.2,0.0,0.0,0.0,553.6,365.6,0.0,0.0,0.0,365.6,0.0,0.0,0.0,0.0,0.0,0.0,1750,1750,1750,0.0,0.0,0.0,0.0
12,30Sep1922,8.571,0.0000,5023.0,5008.4,4942.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4863.6,4647.0,3661.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3661.9,3661.9,3639.0,3639.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3589.9,3589.9,3589.9,3449.6,3449.6,3449.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3442.7,3343.8,3340.3,3340.3,216.52,109.24,94.96,64.38,2136.8,1203.6,2136.8,1929.8,1903.9,1900.4,1890.6,1778.9,1771.2,1539.1,1479.4,734.9,614.9,573.8,552.3,549.6,1203.6,1199.9,1199.9,1181.7,1177.0,122.62,297.42,5000,1467.9,71.6,1070.6,720.8,0.0,0.0,0.0,290.9,182.9,0.0,0.0,0.0,182.9,0.0,0.0,0.0,0.0,0.0,0.0,1533,5000,5000,0.0,0.0,0.0,0.0
13,31Oct1922,5.253,0.0000,4356.0,4341.7,4289.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4244.1,4082.0,3316.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3316.3,3316.3,3301.2,3301.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3276.6,3276.6,3276.6,3204.6,3204.6,3204.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3200.0,3151.0,3148.7,3148.7,162.15,108.08,94.30,64.92,2143.0,1005.8,2143.0,1922.5,1900.6,1898.3,1891.8,1787.4,1782.3,1577.9,1520.2,777.0,661.1,621.3,600.5,598.7,1005.8,1003.3,1003.3,991.9,988.8,82.86,379.78,2161,512.0,25.0,361.8,247.9,0.0,0.0,0.0,92.3,53.5,0.0,0.0,0.0,53.5,0.0,0.0,0.0,0.0,0.0,0.0,1500,2161,2161,0.0,0.0,0.0,0.0
14,30Nov1922,3.857,0.0000,5641.1,5626.3,5481.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5469.2,5361.7,4833.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4833.6,4833.6,4821.5,3214.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3176.3,3176.3,3176.3,3115.0,3115.0,3115.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3111.3,3077.3,3075.4,3075.4,107.50,104.36,90.12,64.64,2088.3,987.1,2088.3,1845.4,1824.4,1822.2,1817.0,1710.0,1706.0,1500.5,1440.9,723.2,615.3,574.2,552.7,551.2,987.1,985.1,985.1,951.4,948.9,67.52,370.58,2801,131.3,192.8,84.3,59.9,0.0,0.0,0.0,22.8,13.5,0.0,0.0,0.0,13.5,0.0,0.0,0.0,0.0,0.0,0.0,1925,2655,2655,0.0,0.0,0.0,0.0
15,31Dec1922,3.945,0.0000,3672.5,3658.4,3460.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3371.0,3272.2,2712.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2712.1,2712.1,2703.5,2703.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2666.6,2666.6,2666.6,2628.9,2628.9,2628.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2626.3,2605.9,2604.6,2604.6,98.85,92.78,79.00,54.08,1882.5,722.1,1882.5,1710.7,1694.2,1692.4,1688.7,1585.5,1582.6,1368.9,1311.2,638.2,545.5,516.3,495.5,494.4,722.1,720.8,720.8,705.1,703.4,37.51,333.52,7223,87.4,1149.0,61.1,42.2,0.0,0.0,0.0,15.1,8.3,0.0,0.0,0.0,8.3,0.0,0.0,0.0,0.0,0.0,0.0,7223,7223,7223,0.0,0.0,0.0,0.0
16,31Jan1923,5.096,0.0000,1549.5,1549.5,1535.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1535.6,1512.3,1462.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1462.7,1462.7,1454.6,1454.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1454.6,1454.6,1454.6,1454.6,1454.6,1454.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1452.1,1451.2,1450.0,1450.0,23.31,23.31,15.42,1.34,815.1,634.9,815.1,815.1,815.0,814.3,810.9,796.0,793.3,735.0,669.6,328.6,236.0,236.0,228.9,228.0,634.9,633.6,633.6,632.7,631.0,45.96,102.25,5298,87.4,314.9,61.1,42.2,0.0,0.0,0.0,15.1,8.3,0.0,0.0,0.0,8.3,0.0,0.0,0.0,0.0,0.0,0.0,5298,5298,5298,0.0,0.0,0.0,0.0
17,28Feb1923,8.360,0.0000,2033.0,2033.0,2022.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021.1,1977.4,1864.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1864.8,1864.8,1855.0,1855.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1855.0,1855.0,1855.0,1855.0,1855.0,1855.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1852.0,1850.9,1849.4,1849.4,43.75,34.92,22.81,3.32,1054.7,794.7,1054.7,1041.2,1037.8,1036.7,1032.5,977.8,974.5,891.0,852.7,423.0,310.6,309.2,296.7,295.6,794.7,793.2,793.2,791.7,789.7,65.83,155.44,3484,970.8,139.2,765.4,567.3,0.0,0.0,0.0,318.0,234.7,0.0,0.0,0.0,234.7,0.0,0.0,0.0,0.0,0.0,0.0,3634,3484,3484,0.0,0.0,0.0,0.0
18,31Mar1923,7.722,0.0000,959.8,959.8,955.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,955.3,925.0,822.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,822.9,822.9,812.8,812.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,812.8,812.8,812.8,812.8,812.8,812.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,809.8,781.3,779.8,779.8,30.28,30.28,20.11,2.46,376.0,403.8,376.0,376.0,370.2,368.8,364.5,308.1,304.7,280.7,267.9,155.3,96.5,96.5,82.3,81.1,403.8,402.2,402.2,397.4,395.3,40.28,39.59,1750,648.4,20.8,471.3,318.1,0.0,0.0,0.0,126.4,78.3,0.0,0.0,0.0,78.3,0.0,0.0,0.0,0.0,0.0,0.0,1750,1750,1750,0.0,0.0,0.0,0.0
19,30Apr1923,10.716,0.0000,2013.7,2013.7,2013.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013.7,1947.7,1787.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1787.7,1787.7,1773.8,1773.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1773.8,1773.8,1773.8,1737.2,1737.2,1737.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1733.0,1645.5,1643.4,1643.4,65.97,65.97,55.85,36.74,247.1,1396.3,247.1,242.3,227.0,225.5,219.5,129.5,124.8,83.0,83.0,83.0,25.6,25.6,11.3,9.7,1396.3,1394.1,1394.1,1383.5,1380.7,42.85,9.67,4105,1316.2,19.5,974.0,647.5,0.0,0.0,0.0,287.1,195.2,0.0,0.0,0.0,195.2,0.0,0.0,0.0,0.0,0.0,0.0,4105,4105,4105,0.0,0.0,0.0,0.0
