A,,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM
5,31Jan1922,547.4,372.8,300.0,3389,3387,3587,1.8,0.00,1.79,0.00,1.789,6730,689.3,1948,505.9,4725,0.0,0.0,0.0,4797,71.5,4944,4794,4794,4944,6420,595.5,191.5,404.0,880.5,246.5,355.6,278.3,6333,6459,116.0,6512,6512,0,6512,6546,0.0,6540,7047,7047,0,7047,7047,0,7047,7047,0,7047,6920,6920,6917,7527,322,306,16.263,310,87.2,10,87.2,46.6,46.6,0.0,46.6,0.56,0,0.0,0.0,0.00,342,0.0,0.0,0.00,342,442,1365,12263,12113,0.0,0,0,12213,0,12263,12263,12263,14389,14239,0,14239,14268,14214,14808,0.0,14451,0,0.0
6,28Feb1922,545.7,22.8,300.0,3419,3417,3617,1.6,0.00,1.62,0.00,1.621,6992,1314.0,1268,792.0,9350,0.0,0.0,0.0,9555,204.9,9624,9474,9474,9624,11734,576.4,143.2,433.2,1533.5,253.3,430.8,849.3,11666,12297,345.1,12422,12422,0,12422,15063,0.0,15063,16531,16531,0,16531,16531,0,16531,16531,0,16531,16507,16507,16507,16542,3331,3311,19.807,3316,68.4,286,68.4,34.3,34.3,0.0,34.3,0.00,1085,0.0,0.0,0.00,2361,0.0,0.0,0.00,2361,5293,2072,23354,15530,4785.9,5720,0,26136,0,23354,23354,23354,31257,30385,0,31148,31181,31107,31768,0.0,21432,0,0.0
7,31Mar1922,393.5,1638.0,300.0,3354,3352,3552,1.8,0.00,1.79,0.00,1.789,5666,684.3,842,587.2,5515,0.0,0.0,0.0,5574,59.6,5615,5465,5465,5615,7131,418.4,104.2,322.1,1115.1,171.0,382.6,561.6,7100,7306,190.6,7306,7306,0,7306,8180,0.0,8180,8991,8991,0,8991,8991,0,8991,8991,0,8991,8743,8743,8743,9276,632,615,17.890,619,32.2,15,32.2,16.4,16.4,0.0,16.4,0.00,1,9.1,8.0,1.09,473,11.4,10.0,1.37,475,3175,1629,20803,15530,4785.9,2938,0,23354,0,20803,20802,20802,26028,26410,0,25909,25955,25863,26482,0.0,16829,0,0.0
8,30Apr1922,626.3,2393.3,540.0,4911,4492,4692,575.1,55.29,519.80,497.28,22.519,7303,596.6,1399,615.0,6639,0.0,0.0,1070.8,6711,72.3,6574,6574,6574,6574,8760,1167.8,192.0,984.0,1039.5,187.6,382.0,656.1,6078,6304,195.7,6419,6419,0,6419,6188,2559.7,5251,6996,6996,0,6996,6996,0,6996,6996,0,6996,6996,6040,5368,7421,17,0,16.806,4,2716.7,30,2716.7,1016.1,1016.1,0.0,1016.1,0.00,220,924.0,804.2,119.85,0,1255.4,1104.7,150.64,90,1105,2941,19219,15530,4704.0,0,0,20234,0,18863,18774,18743,24006,24530,0,24006,23848,23314,24571,0.0,16785,0,0.0
9,31May1922,2901.2,3162.4,2924.0,11202,10749,11026,623.4,60.01,563.37,539.30,24.070,13792,942.5,902,921.5,12149,0.0,0.0,2830.5,12185,36.0,11546,11546,11546,11546,14084,768.9,119.8,657.1,1790.4,287.7,857.1,873.2,11882,12043,144.5,12178,12178,0,12178,10269,3781.7,9514,10168,10168,0,10168,10168,0,10168,10168,0,10168,10210,9305,8704,10434,655,636,19.516,641,2241.9,17,2241.9,894.9,894.9,0.0,894.9,0.00,261,515.9,355.3,160.56,0,1681.6,1479.8,201.80,69,169,7714,43416,15530,4785.9,11238,11962,43516,0,43025,42907,42865,52768,52868,0,52768,52602,52437,53713,0.0,14782,0,0.0
10,30Jun1922,920.0,2788.5,783.0,12564,11877,12077,944.8,90.92,853.89,818.26,35.628,13450,509.0,200,663.6,12544,0.0,0.0,1412.9,12555,11.4,11653,11653,11653,11653,12809,88.6,16.7,80.1,1087.7,160.7,687.3,519.3,9854,9942,75.6,9983,9983,0,9983,8721,735.0,7635,7803,7803,0,7803,7803,0,7803,7803,0,7803,7662,6358,5502,7266,24,0,23.528,4,3000.0,12,3000.0,1160.4,1160.4,0.0,1160.4,0.00,314,980.9,767.2,213.73,0,2238.5,1969.9,268.62,68,168,10907,24933,15530,4785.9,4717,0,25033,0,24364,24207,24150,30953,31053,0,30953,30745,30416,32000,0.0,11800,0,0.0
11,31Jul1922,1948.3,2243.6,450.0,13014,12223,12308,1085.1,104.74,980.36,942.95,37.406,12770,51.7,97,313.8,12593,0.0,0.0,3017.9,12594,1.0,11689,11594,11689,11689,11811,16.4,6.1,18.2,125.3,51.3,223.9,170.4,8938,8966,27.8,9054,9054,0,9054,8283,0.0,7303,7232,7232,0,7232,7232,0,7232,7232,0,7232,7190,5911,5089,6465,5,5,0.000,5,2923.2,0,2923.2,1197.0,1197.0,0.0,1197.0,0.00,331,863.2,631.8,231.36,0,2423.3,2132.5,290.79,48,48,4104,16887,15530,1032.0,0,0,16562,0,16399,16229,16168,18892,18567,0,18567,18688,18565,20132,0.0,5000,0,0.0
12,31Aug1922,1949.4,2077.1,450.0,11265,10577,10662,946.7,91.08,855.62,820.00,35.617,10999,22.0,63,252.0,10935,0.0,0.0,1614.2,10936,0.3,10216,10216,10216,10216,10213,0.0,1.2,1.9,18.9,36.7,121.1,122.2,8139,8160,20.5,8254,8254,0,8254,7599,0.0,6896,6593,6593,0,6593,6593,0,6593,6593,0,6593,6516,5599,5018,5976,68,0,68.306,12,2113.7,0,2113.7,814.2,814.2,0.0,814.2,0.00,273,651.9,478.9,172.97,0,1811.7,1594.3,217.41,55,55,1369,14421,13921,0.0,0,0,13921,0,14020,13893,13847,15192,14692,0,14692,14698,14575,15980,0.0,5000,0,0.0
13,30Sep1922,2449.6,1408.2,450.0,13536,12972,13122,775.4,74.62,700.79,671.21,29.578,13440,24.1,59,234.5,13253,0.0,0.0,0.0,13254,1.1,13118,6663,6663,13118,13157,0.0,0.1,0.2,63.6,33.9,100.3,110.0,12610,12652,19.0,12759,12759,0,12759,12046,0.0,11925,11833,11833,0,11833,11833,0,11833,11833,0,11833,11738,11544,11444,11990,125,125,0.000,125,574.8,23,574.8,199.2,199.2,0.0,199.2,0.00,192,395.0,303.3,91.62,0,959.6,844.4,115.15,59,159,1484,24217,12516,0.0,0,0,12516,0,23979,23911,23887,28512,13577,0,13477,28369,28246,29366,0.0,5000,0,0.0
14,31Oct1922,1621.5,1248.5,373.0,8522,8518,8718,3.9,0.00,3.90,0.00,3.903,9188,70.8,158,240.6,9245,0.0,0.0,0.0,9254,8.8,9187,6076,6369,9187,9470,26.5,8.5,18.1,256.0,42.5,103.6,110.0,8716,8753,25.1,8790,8790,0,8790,8292,1926.9,8062,8517,8517,0,8517,8517,0,8517,8517,0,8517,8256,8252,8144,8291,241,241,0.000,241,753.8,12,753.8,241.8,241.8,0.0,241.8,156.87,124,85.4,75.1,10.25,0,107.3,94.5,12.88,15,115,1123,12414,9695,0.0,0,0,9695,0,12358,12312,12309,14726,11454,0,11354,14636,14524,15265,0.0,7000,0,0.0
15,30Nov1922,798.2,412.6,300.0,9229,9227,9427,2.2,0.00,2.18,0.00,2.185,10433,461.9,218,325.7,10270,0.0,0.0,0.0,10299,29.0,10317,4577,4645,8856,10837,110.8,25.6,85.2,408.7,73.5,134.1,201.1,10491,10570,67.7,10680,10680,0,10680,10907,1883.7,10869,11099,11099,0,11099,11099,0,11099,11099,0,11099,11005,11005,10987,11759,274,274,0.000,274,345.9,11,345.9,92.6,92.6,0.0,92.6,82.98,0,0.0,0.0,0.00,151,0.0,0.0,0.00,151,251,1074,14517,8884,0.0,0,0,8884,0,14517,14517,14517,18825,12394,0,12294,18747,18653,19319,0.0,7000,0,0.0
16,31Dec1922,546.9,184.9,300.0,3377,3375,3575,2.0,0.00,1.95,0.00,1.952,7698,1603.7,1653,866.1,7936,0.0,0.0,0.0,8143,207.0,8204,8104,8104,8204,10474,610.4,145.1,465.3,1659.5,381.5,607.2,670.8,10316,10797,287.1,10857,10857,0,10857,12804,0.0,12804,13576,13576,0,13576,13576,0,13576,13576,0,13576,13433,13433,13433,15141,755,721,34.153,729,157.8,194,157.8,73.8,73.8,0.0,73.8,0.00,0,0.0,0.0,0.00,1498,0.0,0.0,0.00,1498,1911,1605,17367,15530,2049.9,0,0,17680,0,17367,17367,17367,26381,26380,0,26297,26309,26234,26837,0.0,21357,0,0.0
17,31Jan1923,545.6,310.0,300.0,3395,3394,3594,1.8,0.00,1.79,0.00,1.789,7471,969.0,2270,638.7,7319,0.0,0.0,0.0,7412,93.4,7579,7429,7429,7579,9403,674.7,216.9,457.8,1149.3,321.8,464.2,363.3,9329,10269,151.4,10329,10329,0,10329,10599,0.0,10599,10882,10882,0,10882,10882,0,10882,10882,0,10882,10744,10744,10744,11201,432,416,16.263,419,74.8,789,74.8,42.3,42.3,0.0,42.3,0.56,0,0.0,0.0,0.00,327,0.0,0.0,0.00,327,2360,1374,18354,15530,4607.0,0,0,20237,0,18354,18354,18354,23988,25290,0,23859,23919,23866,24459,0.0,16455,0,0.0
18,28Feb1923,545.7,344.1,300.0,3412,3411,3611,1.6,0.00,1.62,0.00,1.621,4834,193.3,767,262.1,5163,0.0,0.0,0.0,5218,54.9,5262,5112,5112,5262,6038,365.8,90.9,274.9,410.8,67.9,115.4,227.5,5970,6090,92.5,6191,6191,0,6191,6754,0.0,6754,7228,7228,0,7228,7228,0,7228,7228,0,7228,7181,7181,7181,7799,2726,2726,0.000,2726,68.4,28,68.4,34.3,34.3,0.0,34.3,0.00,0,0.0,0.0,0.00,85,0.0,0.0,0.00,85,235,1592,12764,12588,0.0,0,0,12688,0,12764,12764,12764,16390,16363,0,16319,16314,16314,16954,0.0,14064,0,0.0
19,31Mar1923,542.8,2283.8,300.0,3411,3185,3385,311.8,29.76,282.01,267.53,14.474,4240,116.0,479,259.6,4211,0.0,0.0,0.0,4233,22.0,4220,4070,4070,4220,4779,209.9,53.3,164.6,374.9,63.1,141.2,207.3,4690,4760,70.3,4913,4913,0,4913,5147,0.0,5123,5627,5627,0,5627,5627,0,5627,5627,0,5627,5698,5600,5538,5950,190,172,17.890,176,97.6,0,97.6,41.7,41.7,0.0,41.7,0.00,102,191.5,126.7,64.85,0,671.7,591.1,80.60,77,177,1914,9343,9193,0.0,0,0,9293,0,9319,9272,9254,10853,10703,0,10703,10624,10501,11346,0.0,10837,0,0.0
20,30Apr1923,835.0,2239.5,600.0,3412,3358,3558,74.3,6.89,67.39,62.35,5.042,5245,350.1,888,448.1,6669,0.0,0.0,1050.8,6719,50.3,6616,6466,6466,6616,8039,696.2,115.0,589.4,751.3,130.5,265.7,456.3,5887,6041,136.1,6197,6197,0,6197,6071,1089.3,5296,6812,6812,0,6812,6812,0,6812,6812,0,6812,6896,6138,5636,7456,17,0,16.806,4,2173.3,18,2173.3,820.7,820.7,0.0,820.7,0.00,177,640.8,563.9,76.90,193,796.6,701.0,95.59,250,387,3673,16225,15530,681.7,0,0,16212,0,16055,15998,15978,21071,20987,0,20930,20962,20828,21758,0.0,15969,0,0.0
21,31May1923,1962.7,3267.5,1498.0,9428,8855,9132,791.1,75.79,715.27,681.76,33.503,9800,83.9,301,282.6,9611,0.0,0.0,2365.2,9620,9.0,9508,9508,9508,9508,9966,206.2,33.0,181.1,272.6,72.3,215.5,219.5,7742,7806,36.3,7911,7911,0,7911,6563,2523.7,5755,5678,5678,0,5678,5678,0,5678,5678,0,5678,5682,4770,4165,5565,20,0,19.516,6,2265.8,28,2265.8,884.1,884.1,0.0,884.1,0.00,269,680.6,511.5,169.09,0,1751.6,1541.4,210.19,71,171,4090,10045,10145,0.0,0,0,10145,0,9571,9447,9402,12616,12716,0,12616,12443,12163,13535,0.0,12003,0,0.0
22,30Jun1923,2112.4,2796.1,783.0,10457,9965,10165,680.8,65.21,615.59,586.35,29.242,10636,20.4,254,197.3,10944,0.0,0.0,561.2,10947,2.7,10615,10615,10615,10615,10816,107.0,19.8,95.4,116.4,37.4,159.9,120.8,7850,7867,17.6,7959,7959,0,7959,7321,3544.4,6214,6189,6189,0,6189,6189,0,6189,6189,0,6189,6199,4925,4091,5760,24,0,23.528,4,3000.0,0,3000.0,1168.9,1168.9,0.0,1168.9,0.00,315,846.5,631.1,215.46,0,2231.8,1964.0,267.81,68,168,2802,10084,10184,0.0,0,0,10184,0,9490,9332,9275,10771,10871,0,10771,10193,10076,11637,0.0,11050,0,0.0
23,31Jul1923,3042.1,2254.1,450.0,12941,12150,12235,1085.1,104.74,980.36,942.95,37.406,12504,16.6,64,188.7,12694,0.0,0.0,1261.2,12695,0.5,12336,10225,12288,12288,12320,4.2,3.0,9.1,0.0,27.4,119.7,91.1,9543,9558,14.9,9634,9634,0,9634,9406,0.0,8384,8356,8356,0,8356,8356,0,8356,8356,0,8356,8316,7036,6215,7611,5,5,0.000,5,2828.0,0,2828.0,1114.1,1114.1,0.0,1114.1,0.00,334,888.5,654.6,233.94,0,2423.3,2132.5,290.79,48,48,2573,15964,15496,0.0,0,0,15496,0,15461,15289,15227,19626,19089,0,19089,19426,19328,20881,0.0,5000,0,0.0
24,31Aug1923,3119.4,2086.9,870.1,9553,8856,8941,960.5,92.38,868.14,830.74,37.406,9216,15.5,73,186.6,9345,0.0,0.0,1879.7,9345,0.2,9060,9060,9060,9060,9040,2.0,3.8,6.2,0.0,25.9,85.7,86.5,6970,6985,14.5,7030,7030,0,7030,6778,0.0,6046,5650,5650,0,5650,5650,0,5650,5650,0,5650,5503,4589,4010,4964,68,0,68.306,12,2111.1,0,2111.1,811.9,811.9,0.0,811.9,0.00,274,687.1,513.1,173.97,0,1802.0,1585.8,216.24,55,55,1103,12932,12432,0.0,0,0,12432,0,12518,12390,12344,13737,13237,0,13237,13246,13149,14539,0.0,5000,0,0.0
25,30Sep1923,2369.4,1232.0,870.1,4547,4388,4538,219.0,20.84,198.14,187.21,10.924,4831,20.4,75,197.7,4886,0.0,0.0,0.0,4887,1.0,4805,4804,4805,4805,4930,0.0,2.8,4.1,151.3,28.7,85.1,93.4,4431,4459,16.1,4577,4577,0,4577,4413,0.0,4323,4300,4300,0,4300,4300,0,4300,4300,0,4300,4245,4120,4054,4651,125,125,0.000,125,508.9,12,508.9,174.8,174.8,0.0,174.8,0.00,179,392.8,313.4,79.34,0,821.8,723.2,98.62,51,151,1533,11692,11792,0.0,0,0,11792,0,11493,11434,11414,13152,13252,0,13152,12825,12742,13754,0.0,5000,0,0.0
26,31Oct1923,571.6,1105.5,373.0,4993,4840,5040,211.9,20.17,191.75,181.17,10.571,5391,36.4,110,205.6,5482,0.0,0.0,0.0,5489,7.4,5400,5390,5390,5390,5560,8.9,5.4,11.5,177.2,35.4,86.4,91.8,4766,4787,21.0,4931,4931,0,4931,4361,505.5,4111,4227,4227,0,4227,4227,0,4227,4227,0,4227,4194,4164,4042,4119,173,173,0.000,173,801.8,0,801.8,256.8,256.8,0.0,256.8,157.02,138,190.5,152.0,38.47,0,398.5,350.6,47.81,54,154,1103,6332,6352,0.0,0,0,6352,0,6221,6193,6183,8555,8036,0,7936,8320,8298,9059,0.0,7000,0,0.0
27,30Nov1923,373.8,519.6,300.0,4647,4604,4804,58.8,5.38,53.44,49.07,4.369,5140,84.5,89,162.8,5147,0.0,0.0,0.0,5159,12.6,5161,5122,5161,5161,5342,12.4,4.8,15.8,178.5,32.1,58.6,87.8,4788,4828,29.6,4951,4951,0,4951,4304,0.0,4166,4105,4105,0,4105,4105,0,4105,4105,0,4105,4073,4073,4010,4173,104,104,0.000,104,555.3,11,555.3,155.8,155.8,0.0,155.8,82.35,163,26.9,22.9,4.05,0,42.0,37.0,5.04,5,105,916,6166,6266,0.0,0,0,6266,0,6161,6022,6021,8216,8316,0,8216,8041,8019,8675,0.0,7000,0,0.0
