A,,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM
19,31Mar1923,460,963,300,3386,3133,3333,312,30,282,268,14,4185,117,474,262,4156,0,0,0,4178,22,4098,4662,212,54,166,378,64,142,209,4573,4644,71,4752,4752,0,4752,4986,1102,4958,5462,5462,0,5462,5462,0,5462,5462,0,5462,5456,5358,5295,5708,192,174,18,178,98,0,98,42,42,0,42,0,102,192,127,65,0,672,591,81,77,77,1938,0,9049,9049,0,0,0,0,0,9025,8977,8960,10555,10555,0,10555,10555,10555,10323,10193,11034,0,0,0,11034,11034,11034,11034,0,10710,11034,0,0,0,0,0,10710,10710,10710
20,30Apr1923,928,2393,540,3559,3553,3753,74,7,67,62,5,5461,353,903,452,6885,0,0,0,6936,51,6838,8275,702,116,594,759,132,268,460,8060,8227,137,8396,8396,0,8396,8270,2363,8092,9608,9608,0,9608,9608,0,9608,9608,0,9608,9712,9570,9476,10732,17,0,17,4,235,30,235,124,124,0,124,0,177,641,564,77,193,797,701,96,250,250,3476,0,19732,12533,3977,2330,0,0,0,19732,19675,19655,24259,22474,0,22729,22729,22729,24001,23898,24819,0,0,0,23019,23274,23274,23274,0,16400,21081,3738,0,0,0,0,16400,16400,16400
21,31May1923,3010,2955,2924,10736,10073,10273,791,76,715,682,34,10946,85,304,285,10758,0,0,1435,10767,9,9856,10320,208,33,183,277,73,217,221,8096,8149,37,8217,8217,0,8217,6869,3035,5874,5798,5798,0,5798,5798,0,5798,5798,0,5798,5682,4770,4165,5666,20,0,20,6,2266,17,2266,884,884,0,884,0,269,681,511,169,0,1752,1541,210,71,71,4200,0,12011,11035,0,0,0,0,0,11538,11413,11369,16736,15760,0,15760,15760,15760,16558,16307,17670,0,0,0,16695,16695,16695,16695,0,13678,17670,0,0,0,0,0,13331,13331,13331
22,30Jun1923,1528,2219,783,10321,9751,10069,681,65,616,586,29,10539,21,251,199,10847,0,0,3705,10850,3,9770,9975,108,20,96,119,38,161,122,7462,7480,18,7588,7588,0,7588,6949,4048,5820,5795,5795,0,5795,5795,0,5795,5795,0,5795,5859,4790,4091,5761,24,0,24,4,2546,0,2546,998,998,0,998,0,315,847,631,215,0,2232,1964,268,68,68,3517,0,9627,9627,0,0,0,0,0,9034,8875,8818,10805,10805,0,10805,10805,10805,10223,10085,11648,0,0,0,11648,11648,11648,11648,0,11060,11648,0,0,0,0,0,11060,11060,11060
23,31Jul1923,2523,2219,450,11627,10712,10862,1085,105,980,943,37,11155,17,86,190,11345,0,0,4027,11345,1,10096,10080,4,3,9,0,28,121,92,7512,7527,15,7623,7623,0,7623,7395,0,6272,6244,6244,0,6244,6244,0,6244,6244,0,6244,6231,5087,4353,5805,5,5,0,5,2619,0,2619,1067,1067,0,1067,0,334,889,655,234,0,2423,2132,291,48,48,3136,0,14185,12533,2564,0,0,0,0,13682,13509,13448,18276,17687,0,18222,18222,18222,18072,17949,19506,0,0,0,18917,19452,19452,19452,0,5000,19506,0,0,0,0,0,5000,5000,5000
24,31Aug1923,2944,2070,870,10174,9367,9517,961,92,868,831,37,9798,16,76,188,9927,0,0,3362,9927,0,8931,8912,2,4,6,0,26,86,87,6863,6877,15,6963,6963,0,6963,6710,0,5869,5474,5474,0,5474,5474,0,5474,5474,0,5474,5404,4550,4010,5124,10,10,0,10,2090,0,2090,854,854,0,854,0,274,687,513,174,0,1802,1586,216,55,55,2064,0,12736,12472,0,0,0,0,0,12322,12194,12148,13797,13533,0,13533,13533,13533,13302,13180,14574,0,0,0,14310,14310,14310,14310,0,5000,14574,0,0,0,0,0,5000,5000,5000
25,30Sep1923,2224,1182,870,5301,5117,5267,219,21,198,187,11,5565,21,78,199,5620,0,0,0,5621,1,5531,5657,0,3,4,153,29,86,94,5117,5156,16,5259,5259,0,5259,5094,1383,4993,4970,4970,0,4970,4970,0,4970,4970,0,4970,4901,4776,4710,5351,125,125,0,125,551,23,551,211,211,0,211,0,179,393,313,79,0,822,723,99,51,51,1928,0,8315,7659,0,0,0,0,0,8116,8057,8036,11800,9507,0,9507,9507,9507,11668,11571,12581,0,0,0,10087,10087,10087,10087,0,5000,12581,0,0,0,0,0,5000,5000,5000
26,31Oct1923,1127,1125,373,5545,5367,5567,212,20,192,181,11,5931,38,113,213,6021,0,0,0,6029,8,5852,6020,9,6,12,184,37,89,95,5441,5462,22,5586,5586,0,5586,5015,614,4880,4995,4995,0,4995,4995,0,4995,4995,0,4995,4933,4827,4755,4832,177,177,0,177,587,0,587,205,205,0,205,157,138,191,152,38,0,398,351,48,54,54,1329,0,7254,7254,0,0,0,0,0,7144,7116,7106,8927,8927,0,8927,8927,8927,8689,8659,9415,0,0,0,9415,9415,9415,9415,0,7000,9415,0,0,0,0,0,7000,7000,7000
27,30Nov1923,804,537,300,6238,6189,6389,59,5,53,49,4,6733,87,89,168,6740,0,0,0,6753,13,6751,6939,13,5,16,185,33,61,91,6137,6178,31,6291,6291,0,6291,5644,472,5384,5324,5324,0,5324,5324,0,5324,5324,0,5324,5285,5114,4994,5116,108,108,0,108,803,11,803,232,232,0,232,82,163,27,23,4,0,42,37,5,5,5,1055,0,7285,7285,0,0,0,0,0,7280,7141,7140,9423,9423,0,9423,9423,9423,9245,9215,9866,0,0,0,9866,9866,9866,9866,0,7000,9866,0,0,0,0,0,7000,7000,7000
28,31Dec1923,553,378,300,5187,5185,5385,2,0,2,0,2,5791,51,185,171,5647,0,0,0,5677,31,5683,5978,50,12,38,246,57,90,99,5694,5746,43,5835,5835,0,5835,5191,0,5127,5438,5438,0,5438,5438,0,5438,5438,0,5438,5411,5370,5341,5578,128,128,0,128,285,10,285,113,113,0,113,0,70,0,0,0,0,0,0,0,0,0,660,0,7406,7406,0,0,0,0,0,7406,7336,7336,9679,9679,0,9679,9679,9679,9535,9530,10103,0,0,0,10103,10103,10103,10103,0,10103,10103,0,0,0,0,0,10103,10103,10103
29,31Jan1924,1229,384,300,3392,3390,3590,2,0,2,0,2,4298,133,341,234,4409,0,0,0,4437,28,4459,4888,88,28,60,341,96,138,108,4813,4868,45,4966,4966,0,4966,4244,0,4244,5294,5294,0,5294,5294,0,5294,5294,0,5294,5273,5273,5273,5488,157,140,16,144,75,10,75,42,42,0,42,1,96,0,0,0,14,0,0,0,14,15,637,0,9619,9620,0,0,0,0,0,9619,9538,9538,11597,11598,0,11597,11597,11597,11476,11476,12044,0,0,0,12045,12044,12044,12044,0,12032,12044,0,0,0,0,0,12032,12032,12032
