A,,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM
5,28Feb1922,8,0,850,850,850,0,0,0,0,0,0,0,844,810,746,0,0,0,0,0,0,0,746,746,736,736,0,0,0,0,0,0,0,725,725,725,723,723,723,0,0,0,0,0,0,0,720,717,715,715,35,34,31,21,124,591,124,108,101,100,96,69,65,62,62,14,8,8,7,6,591,590,590,588,586,21,3,4688,224,1697,185,171,0,0,0,103,73,0,0,0,73,0,0,0,0,0,0
6,31Mar1922,8,0,1935,1935,1935,0,0,0,0,0,0,0,1920,1831,1453,0,0,0,0,0,0,0,1453,1453,1442,1442,0,0,0,0,0,0,0,1440,1440,1440,1432,1432,1432,0,0,0,0,0,0,0,1429,1408,1406,1406,88,75,51,36,752,654,752,712,688,686,682,654,651,645,644,447,380,363,350,349,654,653,653,649,647,27,78,2257,878,502,668,431,0,0,0,242,192,0,0,0,192,0,0,0,0,0,0
7,30Apr1922,11,0,2845,2845,2845,0,0,0,0,0,0,0,2830,2708,2227,0,0,0,0,0,0,0,2227,2227,2213,2213,0,0,0,0,0,0,0,2211,2211,2211,2170,2170,2170,0,0,0,0,0,0,0,2166,2098,2096,2096,122,84,56,39,1242,855,1242,1186,1162,1159,1153,1123,1119,1078,1071,603,526,502,482,481,855,852,852,842,840,42,78,3805,2913,74,2356,1818,0,0,0,1075,803,0,0,0,803,0,0,0,0,0,0
8,31May1922,15,0,3432,3430,3375,0,0,0,0,0,0,0,3354,3142,2443,0,0,0,0,0,0,0,2443,2443,2423,2423,0,0,0,0,0,0,0,2415,2415,2415,2266,2266,2266,0,0,0,0,0,0,0,2260,2151,2148,2148,211,93,70,53,1302,847,1302,1196,1173,1170,1161,1132,1125,1112,1105,662,566,536,517,514,847,844,844,827,823,53,104,10030,3298,126,2636,1977,0,0,0,1151,863,0,0,0,863,0,0,0,0,0,0
9,30Jun1922,24,0,5365,5346,5108,0,0,0,0,0,0,0,5065,4744,2830,0,0,0,0,0,0,0,2830,2830,2804,2804,0,0,0,0,0,0,0,2796,2796,2796,2535,2535,2535,0,0,0,0,0,0,0,2527,2378,2374,2374,321,88,73,55,1548,826,1548,1405,1380,1377,1366,1316,1308,1272,1260,792,691,643,622,619,826,822,822,802,797,67,122,7515,4105,135,3331,2498,0,0,0,1386,1013,0,0,0,1013,0,0,0,0,0,0
10,31Jul1922,26,0,5669,5646,5417,0,0,0,0,0,0,0,5337,5021,2974,0,0,0,0,0,0,0,2974,2974,2946,2946,0,0,0,0,0,0,0,2934,2934,2934,2678,2678,2678,0,0,0,0,0,0,0,2669,2514,2510,2510,317,75,67,49,1746,764,1746,1571,1551,1547,1535,1465,1455,1336,1297,830,707,658,642,638,764,759,759,736,730,76,146,2431,3315,145,2467,1635,0,0,0,735,505,0,0,0,505,0,0,0,0,0,0
11,31Aug1922,22,0,5585,5565,5380,0,0,0,0,0,0,0,5300,5015,2996,0,0,0,0,0,0,0,2996,2996,2973,2973,0,0,0,0,0,0,0,2963,2963,2963,2756,2756,2756,0,0,0,0,0,0,0,2749,2618,2615,2615,284,76,69,50,1856,759,1856,1662,1643,1640,1630,1572,1564,1382,1325,866,732,683,668,665,759,756,756,734,729,76,146,3537,2900,119,2152,1430,0,0,0,631,428,0,0,0,428,0,0,0,0,0,0
12,30Sep1922,9,0,4790,4772,4690,0,0,0,0,0,0,0,4631,4423,2914,0,0,0,0,0,0,0,2914,2914,2892,2892,0,0,0,0,0,0,0,2829,2829,2829,2664,2664,2664,0,0,0,0,0,0,0,2657,2562,2559,2559,208,81,73,55,1796,763,1796,1629,1609,1606,1596,1508,1500,1288,1219,818,671,624,609,606,763,760,760,741,737,69,135,3596,1615,72,1182,794,0,0,0,327,210,0,0,0,210,0,0,0,0,0,0
13,31Oct1922,5,0,4128,4116,4091,0,0,0,0,0,0,0,4045,3935,2760,0,0,0,0,0,0,0,2760,2760,2745,2745,0,0,0,0,0,0,0,2700,2700,2700,2614,2614,2614,0,0,0,0,0,0,0,2609,2560,2558,2558,110,72,61,44,1804,754,1804,1679,1655,1653,1647,1479,1474,1292,1219,755,609,569,553,551,754,751,751,740,737,50,110,1500,557,25,390,271,0,0,0,86,41,0,0,0,41,0,0,0,0,0,0
14,30Nov1922,4,0,3634,3628,3568,0,0,0,0,0,0,0,3533,3472,2370,0,0,0,0,0,0,0,2370,2370,2358,2358,0,0,0,0,0,0,0,2335,2335,2335,2290,2290,2290,0,0,0,0,0,0,0,2286,2259,2257,2257,61,48,37,22,1594,663,1594,1492,1471,1469,1464,1423,1419,1206,1114,722,578,548,534,533,663,661,661,623,621,40,126,2514,139,271,90,64,0,0,0,24,13,0,0,0,13,0,0,0,0,0,0
15,31Dec1922,4,0,2849,2839,2677,0,0,0,0,0,0,0,2654,2589,1803,0,0,0,0,0,0,0,1803,1803,1794,1794,0,0,0,0,0,0,0,1782,1782,1782,1765,1765,1765,0,0,0,0,0,0,0,1762,1744,1743,1743,65,52,41,27,1250,493,1250,1187,1168,1167,1163,1132,1129,912,822,508,434,426,413,412,493,492,492,482,480,28,96,7011,95,978,67,46,0,0,0,16,8,0,0,0,8,0,0,0,0,0,0
16,31Jan1923,5,0,2809,2809,2809,0,0,0,0,0,0,0,2752,2585,2370,0,0,0,0,0,0,0,2370,2370,2362,2362,0,0,0,0,0,0,0,2354,2354,2354,2314,2314,2314,0,0,0,0,0,0,0,2312,2282,2281,2281,167,128,122,59,1401,880,1401,1148,1133,1132,1129,947,944,693,598,371,318,318,296,295,880,879,879,878,876,207,43,4686,659,334,558,508,0,0,0,299,209,0,0,0,209,0,0,0,0,0,0
17,28Feb1923,8,0,3528,3528,3528,0,0,0,0,0,0,0,3461,3257,2789,0,0,0,0,0,0,0,2789,2789,2779,2779,0,0,0,0,0,0,0,2768,2768,2768,2725,2725,2725,0,0,0,0,0,0,0,2722,2685,2684,2684,204,148,132,67,1732,952,1732,1445,1400,1399,1395,1206,1203,870,766,450,387,381,365,364,952,951,951,949,947,207,90,2920,1218,139,964,749,0,0,0,401,282,0,0,0,282,0,0,0,0,0,0
18,31Mar1923,8,0,2727,2727,2727,0,0,0,0,0,0,0,2693,2571,2115,0,0,0,0,0,0,0,2115,2115,2105,2105,0,0,0,0,0,0,0,2103,2103,2103,2078,2078,2078,0,0,0,0,0,0,0,2075,2043,2041,2041,122,94,76,45,1204,837,1204,1083,1055,1052,1048,965,962,875,842,549,463,439,420,419,837,835,835,830,828,84,109,1750,738,21,546,362,0,0,0,165,115,0,0,0,115,0,0,0,0,0,0
19,30Apr1923,11,0,2834,2834,2834,0,0,0,0,0,0,0,2819,2703,2223,0,0,0,0,0,0,0,2223,2223,2209,2209,0,0,0,0,0,0,0,2207,2207,2207,2164,2164,2164,0,0,0,0,0,0,0,2160,2092,2090,2090,116,77,52,37,1230,860,1230,1176,1153,1151,1145,1114,1110,1068,1061,593,516,492,472,470,860,858,858,848,845,40,79,3111,1502,20,1129,739,0,0,0,369,273,0,0,0,273,0,0,0,0,0,0
20,31May1923,15,0,3396,3395,3338,0,0,0,0,0,0,0,3317,3115,2434,0,0,0,0,0,0,0,2434,2434,2414,2414,0,0,0,0,0,0,0,2406,2406,2406,2255,2255,2255,0,0,0,0,0,0,0,2249,2142,2139,2139,202,86,66,50,1290,849,1290,1190,1170,1167,1158,1128,1122,1108,1101,658,563,534,514,512,849,846,846,830,826,52,105,5748,1885,123,1411,928,0,0,0,446,322,0,0,0,322,0,0,0,0,0,0
21,30Jun1923,24,0,5315,5296,5059,0,0,0,0,0,0,0,5018,4709,2798,0,0,0,0,0,0,0,2798,2798,2773,2773,0,0,0,0,0,0,0,2764,2764,2764,2507,2507,2507,0,0,0,0,0,0,0,2499,2352,2348,2348,309,83,69,52,1526,822,1526,1390,1368,1364,1353,1303,1295,1262,1250,782,682,636,615,612,822,818,818,802,797,66,120,2258,2676,135,1984,1319,0,0,0,578,390,0,0,0,390,0,0,0,0,0,0
22,31Jul1923,26,0,5615,5592,5364,0,0,0,0,0,0,0,5289,4983,2945,0,0,0,0,0,0,0,2945,2945,2917,2917,0,0,0,0,0,0,0,2905,2905,2905,2652,2652,2652,0,0,0,0,0,0,0,2644,2491,2487,2487,305,71,64,47,1719,767,1719,1553,1535,1532,1520,1449,1439,1328,1290,825,703,657,640,637,767,763,763,739,734,75,148,5500,2807,145,2067,1384,0,0,0,571,366,0,0,0,366,0,0,0,0,0,0
23,31Aug1923,22,0,5538,5519,5333,0,0,0,0,0,0,0,5256,4982,2963,0,0,0,0,0,0,0,2963,2963,2940,2940,0,0,0,0,0,0,0,2930,2930,2930,2723,2723,2723,0,0,0,0,0,0,0,2716,2587,2583,2583,274,72,65,48,1820,763,1820,1637,1621,1618,1608,1548,1540,1371,1315,858,726,679,664,661,763,760,760,738,733,74,148,2011,2459,119,1809,1212,0,0,0,502,323,0,0,0,323,0,0,0,0,0,0
24,30Sep1923,9,0,6426,6407,6322,0,0,0,0,0,0,0,6265,6064,4549,0,0,0,0,0,0,0,4549,4549,4526,2858,0,0,0,0,0,0,0,2795,2795,2795,2630,2630,2630,0,0,0,0,0,0,0,2623,2529,2526,2526,201,77,70,53,1760,766,1760,1602,1585,1582,1572,1482,1475,1277,1210,811,666,621,605,602,766,762,762,744,739,67,137,3751,1375,72,1000,675,0,0,0,268,166,0,0,0,166,0,0,0,0,0,0
25,31Oct1923,5,0,4102,4089,4064,0,0,0,0,0,0,0,4019,3914,2726,0,0,0,0,0,0,0,2726,2726,2711,2711,0,0,0,0,0,0,0,2667,2667,2667,2580,2580,2580,0,0,0,0,0,0,0,2576,2527,2524,2524,106,68,58,42,1771,754,1771,1652,1631,1630,1623,1452,1447,1279,1209,747,603,565,548,547,754,751,751,740,737,49,111,1500,483,25,341,233,0,0,0,90,54,0,0,0,54,0,0,0,0,0,0
26,30Nov1923,4,0,3620,3613,3552,0,0,0,0,0,0,0,3518,3460,2336,0,0,0,0,0,0,0,2336,2336,2324,2324,0,0,0,0,0,0,0,2301,2301,2301,2256,2256,2256,0,0,0,0,0,0,0,2252,2225,2223,2223,58,45,35,21,1560,663,1560,1463,1445,1443,1438,1395,1391,1196,1108,717,575,546,532,530,663,661,661,624,621,39,129,2000,126,214,81,57,0,0,0,23,14,0,0,0,14,0,0,0,0,0,0
27,31Dec1923,4,0,2799,2788,2624,0,0,0,0,0,0,0,2601,2539,1749,0,0,0,0,0,0,0,1749,1749,1741,1741,0,0,0,0,0,0,0,1729,1729,1729,1711,1711,1711,0,0,0,0,0,0,0,1708,1690,1689,1689,62,49,39,26,1215,473,1215,1156,1139,1138,1134,1103,1100,899,813,502,429,421,408,407,473,472,472,463,461,27,97,2000,83,26,58,40,0,0,0,15,9,0,0,0,9,0,0,0,0,0,0
28,31Jan1924,5,0,775,775,775,0,0,0,0,0,0,0,769,726,534,0,0,0,0,0,0,0,534,534,526,526,0,0,0,0,0,0,0,518,518,518,487,487,487,0,0,0,0,0,0,0,484,439,438,438,43,9,9,6,261,177,261,242,240,240,236,225,222,145,115,69,58,58,56,55,177,175,175,174,173,11,21,1400,83,5,58,40,0,0,0,15,9,0,0,0,9,0,0,0,0,0,0
29,29Feb1924,8,0,824,824,824,0,0,0,0,0,0,0,817,775,592,0,0,0,0,0,0,0,592,592,583,583,0,0,0,0,0,0,0,572,572,572,542,542,542,0,0,0,0,0,0,0,539,496,494,494,42,10,10,6,267,227,267,247,244,244,240,228,225,152,123,73,62,62,59,58,227,225,225,224,222,12,22,1400,627,76,472,308,0,0,0,157,118,0,0,0,118,0,0,0,0,0,0
30,31Mar1924,8,0,974,974,974,0,0,0,0,0,0,0,966,932,863,0,0,0,0,0,0,0,863,863,853,853,0,0,0,0,0,0,0,852,852,852,841,841,841,0,0,0,0,0,0,0,838,820,818,818,34,23,23,15,314,504,314,289,281,281,276,253,249,212,197,133,112,112,105,104,504,503,503,498,496,20,54,953,218,44,150,105,0,0,0,34,17,0,0,0,17,0,0,0,0,0,0
31,30Apr1924,11,0,1035,1035,1035,0,0,0,0,0,0,0,1028,1001,993,0,0,0,0,0,0,0,993,993,979,979,0,0,0,0,0,0,0,977,977,977,975,975,975,0,0,0,0,0,0,0,971,951,948,948,27,22,22,14,409,539,409,382,374,374,368,345,340,295,291,186,166,166,158,156,539,537,537,526,523,24,56,953,276,142,188,132,0,0,0,43,21,0,0,0,21,0,0,0,0,0,0
32,31May1924,15,0,1090,1090,1090,0,0,0,0,0,0,0,1083,1024,958,0,0,0,0,0,0,0,958,958,938,938,0,0,0,0,0,0,0,932,932,932,907,907,907,0,0,0,0,0,0,0,901,867,864,864,58,41,23,16,413,450,413,372,364,363,354,331,324,312,308,198,171,171,165,163,450,447,447,430,426,28,58,953,387,189,266,186,0,0,0,60,30,0,0,0,30,0,0,0,0,0,0
33,30Jun1924,24,0,1494,1491,1457,0,0,0,0,0,0,0,1444,1386,1111,0,0,0,0,0,0,0,1111,1111,1086,1086,0,0,0,0,0,0,0,1080,1080,1080,1027,1027,1027,0,0,0,0,0,0,0,1020,963,959,959,58,24,24,16,534,424,534,481,472,471,460,428,420,404,400,252,222,213,207,204,424,420,420,401,395,31,73,500,819,199,576,399,0,0,0,126,60,0,0,0,60,0,0,0,0,0,0
34,31Jul1924,26,0,1608,1605,1545,0,0,0,0,0,0,0,1512,1433,1055,0,0,0,0,0,0,0,1055,1055,1027,1027,0,0,0,0,0,0,0,1018,1018,1018,971,971,971,0,0,0,0,0,0,0,962,904,900,900,79,24,24,16,552,348,552,486,482,481,469,437,428,410,405,267,231,215,209,206,348,343,343,320,314,37,76,500,1019,169,719,498,0,0,0,157,74,0,0,0,74,0,0,0,0,0,0
35,31Aug1924,22,0,1258,1254,1201,0,0,0,0,0,0,0,1167,1101,815,0,0,0,0,0,0,0,815,815,791,791,0,0,0,0,0,0,0,784,784,784,758,758,758,0,0,0,0,0,0,0,751,706,703,703,66,24,24,17,485,218,485,410,407,407,397,383,375,359,357,247,218,199,196,194,218,214,214,192,187,24,60,500,627,77,435,303,0,0,0,97,47,0,0,0,47,0,0,0,0,0,0
36,30Sep1924,9,0,290,290,290,0,0,0,0,0,0,0,290,290,290,0,0,0,0,0,0,0,290,290,267,267,0,0,0,0,0,0,0,221,221,221,221,221,221,0,0,0,0,0,0,0,214,214,210,210,0,0,0,0,143,67,143,143,143,143,133,113,105,95,95,95,64,53,51,48,67,64,64,46,41,21,48,500,377,48,256,179,0,0,0,59,30,0,0,0,30,0,0,0,0,0,0
37,31Oct1924,5,0,2125,2121,2112,0,0,0,0,0,0,0,2091,2036,1870,0,0,0,0,0,0,0,1870,1870,1855,1335,0,0,0,0,0,0,0,1302,1302,1302,1289,1289,1289,0,0,0,0,0,0,0,1284,1261,1258,1258,56,32,32,21,788,471,788,721,711,711,704,662,657,590,566,325,276,273,266,264,471,469,469,457,454,37,84,500,280,19,189,133,0,0,0,44,22,0,0,0,22,0,0,0,0,0,0
38,30Nov1924,4,0,748,746,738,0,0,0,0,0,0,0,735,714,613,0,0,0,0,0,0,0,613,613,601,601,0,0,0,0,0,0,0,584,584,584,573,573,573,0,0,0,0,0,0,0,569,557,555,555,20,13,13,8,438,117,438,404,399,398,393,376,372,297,264,162,138,138,135,134,117,115,115,103,100,12,37,500,128,0,82,58,0,0,0,21,11,0,0,0,11,0,0,0,0,0,0
39,31Dec1924,4,0,469,466,455,0,0,0,0,0,0,0,454,434,374,0,0,0,0,0,0,0,374,374,365,365,0,0,0,0,0,0,0,356,356,356,356,356,356,0,0,0,0,0,0,0,353,352,351,351,20,14,14,9,337,14,337,315,313,313,309,295,293,198,166,95,84,84,82,81,14,12,12,10,8,10,29,510,13,0,7,5,0,0,0,2,2,0,0,0,2,0,0,0,0,0,0
40,31Jan1925,5,0,119,119,119,0,0,0,0,0,0,0,118,116,113,0,0,0,0,0,0,0,113,113,105,105,0,0,0,0,0,0,0,99,99,99,98,98,98,0,0,0,0,0,0,0,96,95,94,94,2,2,1,0,28,66,28,26,25,25,22,20,17,16,16,11,10,10,10,9,66,65,65,64,62,0,5,500,13,0,7,5,0,0,0,2,2,0,0,0,2,0,0,0,0,0,0
41,28Feb1925,8,0,168,168,168,0,0,0,0,0,0,0,167,165,162,0,0,0,0,0,0,0,162,162,152,152,0,0,0,0,0,0,0,144,144,144,143,143,143,0,0,0,0,0,0,0,140,140,138,138,2,2,1,0,30,108,30,28,27,27,23,22,18,16,16,11,10,10,10,9,108,107,107,105,103,0,5,4287,148,90,101,71,0,0,0,23,11,0,0,0,11,0,0,0,0,0,0
