A,,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM,CALSIM
5,28Feb1921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,31Mar1921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,30Apr1921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,31May1921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,30Jun1921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,31Jul1921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,31Aug1921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,30Sep1921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4399,,,,,,,,,,,,665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,31Oct1921,1077,89,86,1,1,0,0,0,0,1,1,0,0,0,0,86,86,0,0,0,70,70,0,36,18,0,0,0,0,0,0,0,0,350,0,350,0,0,10,0,0,0,91,100,497,800,5868,5839,5836,4000,0,0,0,0,4567,4640,4596,4699,806,965,0,0,37,334,371,248,123,324,162,16,16,578,578,0,76,0,334,338,564,226,102,152,10,159,39,120,49,5200,575,571,1568,1638,10,10,46,1430,200,0,392,1832,1715,1715,374,1301,568,878,732,1,422,424,454,144,278,156,0,0,0,0,0,0,0,0,0,0,0,0,3992,195,13126,10319,7853,5274,7796,111,7545,7545,4000,0,0,0,0,0,0,0,0,0,0,-8558,-11,-9316,5,6264,6464,1170,5294,5450,-3467,5079,958,1224,1247,1247,6467,30,30,0,0,0,0,200,0,200,-200,200,200,0,0,0,0,0,0,0,0,0,0,0,0,0
14,30Nov1921,848,0,0,30,28,2,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,467,0,467,0,95,114,131,131,131,149,0,106,800,3673,3655,3655,2500,0,0,0,0,3208,3295,3295,2853,184,203,0,0,0,180,180,0,180,0,0,19,4,4,0,4,0,0,180,184,184,0,72,161,7,18,27,0,34,2914,511,712,1935,1446,10,10,10,1595,200,0,540,1934,1844,1844,272,589,587,438,0,1,149,438,0,149,0,300,0,0,0,0,0,0,0,0,0,0,0,0,4794,5,10935,7489,7045,3890,6966,84,6789,6789,4500,0,0,0,0,0,0,0,0,0,0,-6327,841,-6716,20,4795,4899,899,4000,4111,-2274,4895,709,868,930,930,3872,34,28,0,6,0,0,320,0,320,-200,200,200,0,0,0,0,0,0,0,0,0,0,0,0,0
15,31Dec1921,1262,0,0,24,24,0,0,0,0,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350,0,350,0,355,453,923,923,923,1019,0,78,800,3537,3519,3519,3239,0,0,0,0,4181,4301,4301,1661,91,108,0,0,0,87,87,0,87,0,0,18,4,4,0,4,0,0,87,91,91,0,22,397,10,18,0,0,10,1700,485,946,1869,1136,15,10,10,1090,200,0,955,1935,1927,1927,259,569,568,424,0,1,144,424,0,144,0,192,0,0,0,0,0,0,0,0,0,0,0,0,2692,5,16983,11739,13242,3741,13506,175,13515,13515,8667,4167,862,1806,0,1499,0,0,0,0,0,-9593,2145,-10602,61,5651,5612,1461,4151,4174,-5003,6735,1061,1245,1265,1265,7139,30,30,0,0,0,0,52,0,52,87,0,0,0,0,87,87,0,0,0,0,0,0,0,0,0
16,31Jan1922,1411,0,0,24,24,0,0,0,0,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350,0,350,0,223,268,565,565,565,609,0,67,800,1455,1444,1444,1700,0,0,0,0,2673,2812,2812,4404,10,22,0,0,0,7,7,0,7,0,0,15,0,0,0,0,0,0,7,10,10,0,12,317,8,11,0,0,8,4421,483,977,28,348,13,10,10,297,200,0,769,1362,1276,1276,256,569,568,424,0,1,144,424,0,144,0,129,0,0,0,0,0,0,0,0,0,0,0,0,2557,5,14532,7214,11526,3007,11719,168,12231,12231,12107,6107,0,2749,0,3358,0,0,0,0,0,-5226,1988,-5852,34,5694,5378,1386,3992,3516,-185,7029,627,1157,1187,1187,2886,30,30,0,0,0,0,0,0,0,84,0,0,0,1,84,84,0,0,0,0,0,0,0,0,0
17,28Feb1922,1803,0,0,305,305,0,0,0,0,297,297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,379,0,379,0,326,494,937,937,943,0,1086,609,800,922,908,908,1700,0,0,0,0,4282,6329,6329,2848,12,25,0,0,0,7,7,0,7,0,0,18,0,0,0,0,0,0,7,12,12,0,15,891,9,14,0,0,9,2868,501,2586,62,591,1911,1877,1877,497,380,0,3446,4679,4592,4592,282,630,629,469,0,1,160,469,0,160,0,156,0,0,0,0,0,0,0,0,0,0,0,0,2920,0,28643,8414,23772,4871,26792,175,27836,27836,35974,25349,0,13039,0,12310,0,0,0,0,0,-4464,3950,-5178,175,13256,12668,5018,7650,6973,7975,16390,714,3016,2842,2842,3841,310,310,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
18,31Mar1922,1578,5,5,17,17,0,0,0,0,17,17,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1016,0,1016,0,216,226,526,526,526,536,0,912,800,962,917,917,1700,0,0,0,0,4591,6453,6453,9777,40,85,0,0,0,36,36,1,34,0,1,22,27,27,3,24,0,0,36,40,40,0,20,626,8,45,0,0,8,9813,433,2895,645,651,1719,1698,1698,471,200,0,3352,2236,2145,2145,260,570,568,424,0,1,144,424,0,144,0,94,0,0,0,0,0,0,0,0,0,0,0,0,3089,5,23191,7638,19040,4151,19407,175,19357,19357,25662,13356,0,7039,132,6185,0,0,0,0,0,-3258,4379,-3961,5,10323,10394,4745,5650,5663,6362,13999,703,4246,3938,3938,5785,30,30,0,0,0,0,0,0,0,97,0,0,0,2,97,97,0,0,0,0,0,0,0,0,0
