cal sim sutter bypass flows,
cs_date,Sutter Bypass
10/1/1965,0
11/1/1965,0
12/1/1965,0
1/1/1966,0
2/1/1966,0
3/1/1966,0
4/1/1966,0
5/1/1966,0
6/1/1966,0
7/1/1966,0
8/1/1966,0
9/1/1966,0
10/1/1966,0
11/1/1966,0
12/1/1966,3463
1/1/1967,7254
2/1/1967,4672
3/1/1967,4936
4/1/1967,1847
5/1/1967,307
6/1/1967,0
7/1/1967,0
8/1/1967,0
9/1/1967,0
10/1/1967,0
11/1/1967,0
12/1/1967,0
1/1/1968,0
2/1/1968,9029
3/1/1968,0
4/1/1968,0
5/1/1968,0
6/1/1968,0
7/1/1968,0
8/1/1968,0
9/1/1968,0
10/1/1968,0
11/1/1968,0
12/1/1968,0
1/1/1969,36572
2/1/1969,31573
3/1/1969,1964
4/1/1969,787
5/1/1969,0
6/1/1969,0
7/1/1969,0
8/1/1969,0
9/1/1969,0
10/1/1969,0
11/1/1969,0
12/1/1969,7565
1/1/1970,75013.2
2/1/1970,9358
3/1/1970,0
4/1/1970,0
5/1/1970,0
6/1/1970,0
7/1/1970,0
8/1/1970,0
9/1/1970,0
10/1/1970,0
11/1/1970,0
12/1/1970,7069
1/1/1971,10247
2/1/1971,0
3/1/1971,6210
4/1/1971,0
5/1/1971,0
6/1/1971,0
7/1/1971,0
8/1/1971,0
9/1/1971,0
10/1/1971,0
11/1/1971,0
12/1/1971,0
1/1/1972,0
2/1/1972,0
3/1/1972,0
4/1/1972,0
5/1/1972,0
6/1/1972,0
7/1/1972,0
8/1/1972,0
9/1/1972,0
10/1/1972,0
11/1/1972,0
12/1/1972,0
1/1/1973,19070
2/1/1973,21316
3/1/1973,4784
4/1/1973,0
5/1/1973,0
6/1/1973,0
7/1/1973,0
8/1/1973,0
9/1/1973,0
10/1/1973,0
11/1/1973,19139
12/1/1973,18461
1/1/1974,51110
2/1/1974,0
3/1/1974,29061
4/1/1974,6027
5/1/1974,0
6/1/1974,0
7/1/1974,0
8/1/1974,0
9/1/1974,0
10/1/1974,0
11/1/1974,0
12/1/1974,0
1/1/1975,0
2/1/1975,6286
3/1/1975,28050
4/1/1975,0
5/1/1975,0
6/1/1975,0
7/1/1975,0
8/1/1975,0
9/1/1975,0
10/1/1975,0
11/1/1975,0
12/1/1975,0
1/1/1976,0
2/1/1976,0
3/1/1976,0
4/1/1976,0
5/1/1976,0
6/1/1976,0
7/1/1976,0
8/1/1976,0
9/1/1976,0
10/1/1976,0
11/1/1976,0
12/1/1976,0
1/1/1977,0
2/1/1977,0
3/1/1977,0
4/1/1977,0
5/1/1977,0
6/1/1977,0
7/1/1977,0
8/1/1977,0
9/1/1977,0
10/1/1977,0
11/1/1977,0
12/1/1977,0
1/1/1978,18287
2/1/1978,10283
3/1/1978,17592
4/1/1978,733
5/1/1978,0
6/1/1978,0
7/1/1978,0
8/1/1978,0
9/1/1978,0
10/1/1978,0
11/1/1978,0
12/1/1978,0
1/1/1979,0
2/1/1979,0
3/1/1979,0
4/1/1979,0
5/1/1979,0
6/1/1979,0
7/1/1979,0
8/1/1979,0
9/1/1979,0
10/1/1979,0
11/1/1979,0
12/1/1979,0
1/1/1980,20679
2/1/1980,35130
3/1/1980,663
4/1/1980,0
5/1/1980,0
6/1/1980,0
7/1/1980,0
8/1/1980,0
9/1/1980,0
10/1/1980,0
11/1/1980,0
12/1/1980,0
1/1/1981,0
2/1/1981,0
3/1/1981,0
4/1/1981,0
5/1/1981,0
6/1/1981,0
7/1/1981,0
8/1/1981,0
9/1/1981,0
10/1/1981,0
11/1/1981,2002
12/1/1981,21775
1/1/1982,4565
2/1/1982,18385
3/1/1982,7088
4/1/1982,21710
5/1/1982,0
6/1/1982,0
7/1/1982,0
8/1/1982,0
9/1/1982,0
10/1/1982,0
11/1/1982,0
12/1/1982,9632
1/1/1983,23259
2/1/1983,55139
3/1/1983,75771
4/1/1983,11273
5/1/1983,2766
6/1/1983,0
7/1/1983,0
8/1/1983,0
9/1/1983,0
10/1/1983,0
11/1/1983,6258
12/1/1983,39836
1/1/1984,554
2/1/1984,0
3/1/1984,0
4/1/1984,0
5/1/1984,0
6/1/1984,0
7/1/1984,0
8/1/1984,0
9/1/1984,0
10/1/1984,0
11/1/1984,0
12/1/1984,0
1/1/1985,0
2/1/1985,0
3/1/1985,0
4/1/1985,0
5/1/1985,0
6/1/1985,0
7/1/1985,0
8/1/1985,0
9/1/1985,0
10/1/1985,0
11/1/1985,0
12/1/1985,0
1/1/1986,0
2/1/1986,66689
3/1/1986,28407
4/1/1986,0
5/1/1986,0
6/1/1986,0
7/1/1986,0
8/1/1986,0
9/1/1986,0
10/1/1986,0
11/1/1986,0
12/1/1986,0
1/1/1987,0
2/1/1987,0
3/1/1987,0
4/1/1987,0
5/1/1987,0
6/1/1987,0
7/1/1987,0
8/1/1987,0
9/1/1987,0
10/1/1987,0
11/1/1987,0
12/1/1987,0
1/1/1988,121
2/1/1988,0
3/1/1988,0
4/1/1988,0
5/1/1988,0
6/1/1988,0
7/1/1988,0
8/1/1988,0
9/1/1988,0
10/1/1988,0
11/1/1988,0
12/1/1988,0
1/1/1989,0
2/1/1989,0
3/1/1989,3945
4/1/1989,0
5/1/1989,0
6/1/1989,0
7/1/1989,0
8/1/1989,0
9/1/1989,0
10/1/1989,0
11/1/1989,0
12/1/1989,0
1/1/1990,0
2/1/1990,0
3/1/1990,0
4/1/1990,0
5/1/1990,0
6/1/1990,0
7/1/1990,0
8/1/1990,0
9/1/1990,0
10/1/1990,0
11/1/1990,0
12/1/1990,0
1/1/1991,0
2/1/1991,0
3/1/1991,0
4/1/1991,0
5/1/1991,0
6/1/1991,0
7/1/1991,0
8/1/1991,0
9/1/1991,0
10/1/1991,0
11/1/1991,0
12/1/1991,0
1/1/1992,0
2/1/1992,419
3/1/1992,0
4/1/1992,0
5/1/1992,0
6/1/1992,0
7/1/1992,0
8/1/1992,0
9/1/1992,0
10/1/1992,0
11/1/1992,0
12/1/1992,0
1/1/1993,12690
2/1/1993,8965
3/1/1993,0
4/1/1993,0
5/1/1993,0
6/1/1993,0
7/1/1993,0
8/1/1993,0
9/1/1993,0
10/1/1993,0
11/1/1993,0
12/1/1993,0
1/1/1994,0
2/1/1994,0
3/1/1994,0
4/1/1994,0
5/1/1994,0
6/1/1994,0
7/1/1994,0
8/1/1994,0
9/1/1994,0
10/1/1994,0
11/1/1994,0
12/1/1994,0
1/1/1995,41327
2/1/1995,8691
3/1/1995,67443
4/1/1995,0
5/1/1995,4900
6/1/1995,0
7/1/1995,0
8/1/1995,0
9/1/1995,0
10/1/1995,0
11/1/1995,0
12/1/1995,0
1/1/1996,1031
2/1/1996,36055
3/1/1996,5590
4/1/1996,0
5/1/1996,0
6/1/1996,0
7/1/1996,0
8/1/1996,0
9/1/1996,0
10/1/1996,0
11/1/1996,0
12/1/1996,12633
1/1/1997,52322
2/1/1997,0
3/1/1997,0
4/1/1997,0
5/1/1997,0
6/1/1997,0
7/1/1997,0
8/1/1997,0
9/1/1997,0
10/1/1997,0
11/1/1997,0
12/1/1997,0
1/1/1998,21219
2/1/1998,84713.3
3/1/1998,18071
4/1/1998,0
5/1/1998,6434
6/1/1998,8914
7/1/1998,0
8/1/1998,0
9/1/1998,0
10/1/1998,0
11/1/1998,0
12/1/1998,832
1/1/1999,0
2/1/1999,28798
3/1/1999,8433
4/1/1999,0
5/1/1999,0
6/1/1999,0
7/1/1999,0
8/1/1999,0
9/1/1999,0
10/1/1999,0
11/1/1999,0
12/1/1999,0
1/1/2000,0
2/1/2000,36768
3/1/2000,9345
4/1/2000,0
5/1/2000,0
6/1/2000,0
7/1/2000,0
8/1/2000,0
9/1/2000,0
10/1/2000,0
11/1/2000,0
12/1/2000,0
1/1/2001,0
2/1/2001,0
3/1/2001,0
4/1/2001,0
5/1/2001,0
6/1/2001,0
7/1/2001,0
8/1/2001,0
9/1/2001,0
10/1/2001,0
11/1/2001,0
12/1/2001,1442
1/1/2002,9558
2/1/2002,0
3/1/2002,0
4/1/2002,0
5/1/2002,0
6/1/2002,0
7/1/2002,0
8/1/2002,0
9/1/2002,0
10/1/2002,0
11/1/2002,0
12/1/2002,7571
1/1/2003,19050
2/1/2003,0
3/1/2003,0
4/1/2003,0
5/1/2003,5446
6/1/2003,0
7/1/2003,0
8/1/2003,0
9/1/2003,0
